row_label_raw,row_label_full,Tên dự án,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
,,,VND,VND,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Dự án Mũi Né - Quảng Nam,Ngắn hạn > Dự án Mũi Né - Quảng Nam,Dự án Mũi Né - Quảng Nam,50.000.000.000,-,50000000000.0,
Dự án Bình Minh,Ngắn hạn > Dự án Bình Minh,Dự án Bình Minh,47.450.299.008,-,47450299008.0,
Dự án Hoa Tiên Paradise,Ngắn hạn > Dự án Hoa Tiên Paradise,Dự án Hoa Tiên Paradise,460.743.049.251,-,460743049251.0,
Dự án Lilaha,Ngắn hạn > Dự án Lilaha,Dự án Lilaha,537.153.932.489,-,537153932489.0,
Dự án tòa nhà VP Plaschem,Ngắn hạn > Dự án tòa nhà VP Plaschem,Dự án tòa nhà VP Plaschem,200.000.000.000,-,200000000000.0,
Cộng,Ngắn hạn > Cộng,Cộng,1.295.347.280.748,-,1295347280748.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Dự án Tân Mỹ, Bắc Giang","Dài hạn > Dự án Tân Mỹ, Bắc Giang","Dự án Tân Mỹ, Bắc Giang",-,50.000.000.000,,50000000000.0
Dự án Bình Minh,Dài hạn > Dự án Bình Minh,Dự án Bình Minh,-,47.450.299.008,,47450299008.0
Dự án Hoa Tiên Paradise,Dài hạn > Dự án Hoa Tiên Paradise,Dự án Hoa Tiên Paradise,-,478.811.249.251,,478811249251.0
Dự án Lilaha,Dài hạn > Dự án Lilaha,Dự án Lilaha,-,400.000.000.000,,400000000000.0
Dự án tòa nhà VP Plaschem,Dài hạn > Dự án tòa nhà VP Plaschem,Dự án tòa nhà VP Plaschem,-,143.477.956.751,,143477956751.0
Cộng,Dài hạn > Cộng,Cộng,-,1.069.739.505.010,,1069739505010.0
