row_label_raw,row_label_full,(*) Hàng hóa bất động sản bao gồm:,31/12/2025,01/01/2025,numeric__31/12/2025,numeric__01/01/2025
(*) Hàng hóa bất động sản bao gồm:,(*) Hàng hóa bất động sản bao gồm:,(*) Hàng hóa bất động sản bao gồm:,VND,VND,,
(1) Hàng hóa bất động sản:,(*) Hàng hóa bất động sản bao gồm: > (1) Hàng hóa bất động sản:,(1) Hàng hóa bất động sản:,295.987.128.512,249.113.058.773,295987128512.0,249113058773.0
+ Căn A1508 - Dự án Sky City Towers 88 Láng Hạ,(*) Hàng hóa bất động sản bao gồm: > + Căn A1508 - Dự án Sky City Towers 88 Láng Hạ,+ Căn A1508 - Dự án Sky City Towers 88 Láng Hạ,3.600.000.000,3.600.000.000,3600000000.0,3600000000.0
+ Dự án Khu biệt thụ và vui chơi giải trí Đại Lải (dự án Đại Lải Paradise)(1.1),(*) Hàng hóa bất động sản bao gồm: > + Dự án Khu biệt thụ và vui chơi giải trí Đại Lải (dự án Đại Lải Paradise)(1.1),+ Dự án Khu biệt thụ và vui chơi giải trí Đại Lải (dự án Đại Lải Paradise)(1.1),245.513.058.773,245.513.058.773,245513058773.0,245513058773.0
"+ Dự án Bình Minh Garden (shop house, cao tầng) (1.2)","(*) Hàng hóa bất động sản bao gồm: > + Dự án Bình Minh Garden (shop house, cao tầng) (1.2)","+ Dự án Bình Minh Garden (shop house, cao tầng) (1.2)",46.874.069.739,-,46874069739.0,
(2) Quyền định đoạt tài sản hình thành trong tương lai:,(*) Hàng hóa bất động sản bao gồm: > (2) Quyền định đoạt tài sản hình thành trong tương lai:,(2) Quyền định đoạt tài sản hình thành trong tương lai:,293.598.843.757,57.568.278.902,293598843757.0,57568278902.0
+ Dự án C-Sky View,(*) Hàng hóa bất động sản bao gồm: > + Dự án C-Sky View,+ Dự án C-Sky View,2.024.064.713,4.092.165.876,2024064713.0,4092165876.0
+ Dự án Hoa Tiên Paradise (2.1),(*) Hàng hóa bất động sản bao gồm: > + Dự án Hoa Tiên Paradise (2.1),+ Dự án Hoa Tiên Paradise (2.1),193.128.436.872,16.871.142.711,193128436872.0,16871142711.0
"+ Dự án Nhà ở cao tầng, kết hợp dịch vụ thương mại Summit Building","(*) Hàng hóa bất động sản bao gồm: > + Dự án Nhà ở cao tầng, kết hợp dịch vụ thương mại Summit Building","+ Dự án Nhà ở cao tầng, kết hợp dịch vụ thương mại Summit Building",3.994.575.476,3.994.575.476,3994575476.0,3994575476.0
+ Dự án Kim Chung Di Trạch,(*) Hàng hóa bất động sản bao gồm: > + Dự án Kim Chung Di Trạch,+ Dự án Kim Chung Di Trạch,12.962.403.680,12.962.403.681,12962403680.0,12962403681.0
+ Dự án Lotus Central,(*) Hàng hóa bất động sản bao gồm: > + Dự án Lotus Central,+ Dự án Lotus Central,1.624.566.727,1.624.566.727,1624566727.0,1624566727.0
+ Dự án Hud Mê Linh,(*) Hàng hóa bất động sản bao gồm: > + Dự án Hud Mê Linh,+ Dự án Hud Mê Linh,13.943.367.294,13.943.367.294,13943367294.0,13943367294.0
+ Dự án Eco Central Park (2.2),(*) Hàng hóa bất động sản bao gồm: > + Dự án Eco Central Park (2.2),+ Dự án Eco Central Park (2.2),65.921.428.995,4.080.057.137,65921428995.0,4080057137.0
,,,589.585.972.269,306.681.337.675,589585972269.0,306681337675.0
