row_label_raw,row_label_full,col_0,col_1,01/01/2025 > Giá trị,01/01/2025 > Dự phòng,Trong năm > Tăng,Trong năm > Giảm,31/12/2025 > Giá trị,31/12/2025 > Dự phòng,numeric__col_1,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Dự phòng,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Dự phòng
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,,
- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Bên khác > - Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,- Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,3.760.700.000,-,-,-,3.760.700.000,-,,3760700000.0,,,,3760700000.0,
- Công ty Cổ phần CONSGROUP,Bên khác > - Công ty Cổ phần CONSGROUP,- Công ty Cổ phần CONSGROUP,- Công ty Cổ phần CONSGROUP,39.000.000.000,-,-,39.000.000.000,-,-,,39000000000.0,,,39000000000.0,,
- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Bên khác > - Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,- Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,-,-,18.822.818.131,5.545.721.115,13.277.097.016,-,,,,18822818131.0,5545721115.0,13277097016.0,
,,,,42.760.700.000,-,18.822.818.131,44.545.721.115,17.037.797.016,-,,42760700000.0,,18822818131.0,44545721115.0,17037797016.0,
Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/Loại tiền,Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/Loại tiền,Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/Loại tiền,Thông tin chi tiết về các khoản cho vay như sau:Tên bên vay/Hợp đồng cho vay/Loại tiền,Mục đích vay,Lãi suất năm,Thời hạn vay,Hình thức đảm bảo,31/12/2025,01/01/2025,,,,,,,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,VND,VND,,,,,,,
Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Bên khác > Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,17.037.797.016,42.760.700.000,,,,,,17037797016.0,42760700000.0
Hợp đồng số 1012/2020/HĐVV/CEN-DAINAMSON vay bằng VND,Bên khác > Hợp đồng số 1012/2020/HĐVV/CEN-DAINAMSON vay bằng VND,Hợp đồng số 1012/2020/HĐVV/CEN-DAINAMSON vay bằng VND,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Binh Cần Thơ""",20%/năm,20 tháng,Tín chấp,3.760.700.000,3.760.700.000,,,,,,3760700000.0,3760700000.0,
Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,Công ty Cổ phần CONSGROUP,,,,,,,
Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Công ty Cổ phần CONSGROUP > Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Hợp đồng số 001/2022/HĐVV/CRE-COG và PL ngày 10/10/2023 vay bằng VND,Vay vốn nhằm ký quỹ để đảm bảo độc quyền phân phối bằng hàng tại dự án khu căn hộ FPT Plaza 2,11%/năm (từ 01/03/2024 là 7%/năm),24 tháng,Tín chấp,-,39.000.000.000,,,,,,,39000000000.0,
Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào,,,,,,,
Thỏa thuận bù trừ bằng VND,Công ty Cổ phần Tổng Công ty Hợp tác Kinh tế Việt Lào > Thỏa thuận bù trừ bằng VND,Thỏa thuận bù trừ bằng VND,Chuyển nhượng dự án Eco Central Park,0%/năm,31/12/2028 hoặc khi chuyển nhượng dự án,Tín chấp,13.277.097.016,-,,,,,,13277097016.0,,
,,,,,,,,17.037.797.016,42.760.700.000,,,,,,17037797016.0,42760700000.0
