row_label_raw,row_label_full,col_0,Hoạt động môi giớibắt động sản,Hoạt động chuyểnnhượng bắt động sản,Hoạt động chothuế văn phòng vàkhác,Tổng cộng toàndoanh nghiệp,numeric__Hoạt động môi giớibắt động sản,numeric__Hoạt động chuyểnnhượng bắt động sản,numeric__Hoạt động chothuế văn phòng vàkhác,numeric__Tổng cộng toàndoanh nghiệp
,,,,VND,VND,VND,,,,
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,218.865.214.632,107.472.800.342,-,326.338.014.974,218865214632.0,107472800342.0,,326338014974.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,984.725.614.111,,,,984725614111.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,218.865.214.632,107.472.800.342,-,1.311.063.629.085,218865214632.0,107472800342.0,,1311063629085.0
