row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,116.479.910.561,45.615.972.090,16.189.120.634,178.285.003.285,116479910561.0,45615972090.0,16189120634.0,178285003285.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,656.922.800,656.922.800,,,656922800.0,656922800.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(2.455.521.819),-,(2.455.521.819),,-2455521819.0,,-2455521819.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,116.479.910.561,43.160.450.271,16.846.043.434,176.486.404.266,116479910561.0,43160450271.0,16846043434.0,176486404266.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.783.637.551,25.938.553.640,15.402.453.812,68.124.645.003,26783637551.0,25938553640.0,15402453812.0,68124645003.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,4.334.068.084,4.315.160.640,483.543.837,9.132.772.561,4334068084.0,4315160640.0,483543837.0,9132772561.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.735.572.593),-,(1.735.572.593),,-1735572593.0,,-1735572593.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,31.117.705.635,28.518.141.687,15.885.997.649,75.521.844.971,31117705635.0,28518141687.0,15885997649.0,75521844971.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,89.696.273.010,19.677.418.450,786.666.822,110.160.358.282,89696273010.0,19677418450.0,786666822.0,110160358282.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,85.362.204.926,14.642.308.584,960.045.785,100.964.559.295,85362204926.0,14642308584.0,960045785.0,100964559295.0
