row_label_raw,row_label_full,col_0,Hợp đồng,Lãi suất năm,Thời hạn vay,Mục đích vay,Hạn mức vay > VND,31/12/2025 > VND,01/01/2025 > VND,numeric__Hợp đồng,numeric__Lãi suất năm,numeric__Thời hạn vay,numeric__Mục đích vay,numeric__Hạn mức vay > VND,numeric__31/12/2025 > VND,numeric__01/01/2025 > VND
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,
Công ty Cổ phần Cen Bắc Trung Bộ (Vay tín chấp),Bên liên quan > Công ty Cổ phần Cen Bắc Trung Bộ (Vay tín chấp),Công ty Cổ phần Cen Bắc Trung Bộ (Vay tín chấp),2212/2025/HĐ VTS/CENBTB-CRE ngày 22/12/2025,12%,03 tháng,Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh,Theo hợp đồng vay,15.000.000.000,-,,0.12,,,,15000000000.0,
Công ty Cổ phần Cen Bắc Trung Bộ (Vay tín chấp),Bên liên quan > Công ty Cổ phần Cen Bắc Trung Bộ (Vay tín chấp),Công ty Cổ phần Cen Bắc Trung Bộ (Vay tín chấp),2212/2025/HĐ VTS/CENBTB-CRE ngày 22/12/2025,12%,03 tháng,Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh,Theo hợp đồng vay,15.000.000.000,-,,0.12,,,,15000000000.0,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (1),Bên khác > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (1),Nhiều hợp đồng (****),"5,20% - 6,90%",160 ngày,Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh,Theo từng hợp đồng (****),538.077.695.223,566.927.446.362,,,,,,538077695223.0,566927446362.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (1),Bên khác > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà (1),Nhiều hợp đồng (****),"5,20% - 6,90%",160 ngày,Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh,Theo từng hợp đồng (****),445.776.566.666,332.311.607.573,,,,,,445776566666.0,332311607573.0
