row_label_raw,row_label_full,Hợp đồng vay,Lãi suất/năm,Thời hạn vay - Ngày đáo hạn,Mục đích vay,Hạn mức vay,31/12/2025,01/01/2025,numeric__Lãi suất/năm,numeric__Thời hạn vay - Ngày đáo hạn,numeric__Mục đích vay,numeric__Hạn mức vay,numeric__31/12/2025,numeric__01/01/2025
,,,,,,VND,VND,VND,,,,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Thành (6),31.192.302.171,-,,,,,31192302171.0,
01/2025-HĐCVDADT/NHCT188-CRE ngày 24/09/2025,01/2025-HĐCVDADT/NHCT188-CRE ngày 24/09/2025,01/2025-HĐCVDADT/NHCT188-CRE ngày 24/09/2025,"7,50%",24 tháng - 2027,Mua 10 bắt động sản tại dự án Bình Minh Garden,35.360.000.000,31.192.302.171,-,0.075,,,35360000000.0,31192302171.0,
,,,,,,,213.504.246.623,1.271.997.780,,,,,213504246623.0,1271997780.0
,,,,,,,(48.241.304.199),(760.053.328),,,,,-48241304199.0,-760053328.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,165.262.942.424,511.944.452,,,,,165262942424.0,511944452.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,165.262.942.424,511.944.452,,,,,165262942424.0,511944452.0
