row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1
,,,Số cuối nămVND,Số đầu nămVND,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,24.433.669.514,56.457.939.464,24433669514.0,56457939464.0
Khấu hao tài sản cố định tạm tăng(chưa có hóa đơn),Khấu hao tài sản cố định tạm tăng(chưa có hóa đơn),Khấu hao tài sản cố định tạm tăng(chưa có hóa đơn),9.125.910.988,42.154.066.105,9125910988.0,42154066105.0
Trích trước chi phí thuê đất (chưa cóthông báo của Cơ quan Thuế),Trích trước chi phí thuê đất (chưa cóthông báo của Cơ quan Thuế),Trích trước chi phí thuê đất (chưa cóthông báo của Cơ quan Thuế),9.292.020.935,6.851.047.359,9292020935.0,6851047359.0
Chi phí sữa chữa (chưa có hóa đơn)Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mục tiềnvà phải thu có gốc ngoại tệ,Chi phí sữa chữa (chưa có hóa đơn)Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mục tiềnvà phải thu có gốc ngoại tệ,Chi phí sữa chữa (chưa có hóa đơn)Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mục tiềnvà phải thu có gốc ngoại tệ,4.832.716.667,6.182.021.904,4832716667.0,6182021904.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,1.183.020.924-,804.283.386466.520.710,,8.042833864665207e+17
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,407.711.498,296.762.715,407711498.0,296762715.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,407.711.498,296.762.715,407711498.0,296762715.0
Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,24.025.958.016,56.161.176.749,24025958016.0,56161176749.0
,,,Báo cáo kết quả hoạt độngkinh doanh hợp nhất,Báo cáo kết quả hoạt độngkinh doanh hợp nhất,,
,,,Năm nayVND,Năm trướcVND,,
Khấu hao tài sản cố định tạm tăng(chưa có hóa đơn),Khấu hao tài sản cố định tạm tăng(chưa có hóa đơn),Khấu hao tài sản cố định tạm tăng(chưa có hóa đơn),33.028.155.117,33.827.562.079,33028155117.0,33827562079.0
Chi phí sửa chữa (chưa có hóa đơn),Chi phí sửa chữa (chưa có hóa đơn),Chi phí sửa chữa (chưa có hóa đơn),1.349.305.237,3.215.753.474,1349305237.0,3215753474.0
Trích trước chi phí thuê đất (chưa cóthông báo của Cơ quan Thuế)Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mục tiềnvà phải thu có gốc ngoại tệ,Trích trước chi phí thuê đất (chưa cóthông báo của Cơ quan Thuế)Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mục tiềnvà phải thu có gốc ngoại tệ,Trích trước chi phí thuê đất (chưa cóthông báo của Cơ quan Thuế)Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mục tiềnvà phải thu có gốc ngoại tệ,(2.440.973.576),8.505.833.925,-2440973576.0,8505833925.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(378.737.538),(166.629.114),-378737538.0,-166629114.0
Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,Dự phòng các khoản đầu tư tài chính,466.520.710,(221.964.435),466520710.0,-221964435.0
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,32.135.218.733,45.457.318.644,32135218733.0,45457318644.0
