row_label_raw,row_label_full,col_0,Dịch vụVND,Bán hàngVND,Tổng cộngVND,numeric__Dịch vụVND,numeric__Bán hàngVND,numeric__Tổng cộngVND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,7.264.348.041.825,503.121.367.848,7.767.469.409.673,7264348041825.0,503121367848.0,7767469409673.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
Giá vốn hàng bán,Chi phí bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,6.116.819.270.331,261.233.548.361,6.378.052.818.692,6116819270331.0,261233548361.0,6378052818692.0
Chi phí bán hàng,Chi phí bộ phận > Chi phí bán hàng,Chi phí bán hàng,,146.210.582.200,146.210.582.200,,146210582200.0,146210582200.0
Kết quả hoạt động kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,1.147.528.771.494,95.677.237.287,1.243.206.008.781,1147528771494.0,95677237287.0,1243206008781.0
Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,666.030.319.372,,,666030319372.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,2.231.498.423.569,,,2231498423569.0
Chi phí tài chính,Các chi phí không phân bổ > Chi phí tài chính,Chi phí tài chính,,,968.296.437.082,,,968296437082.0
Thu nhập khác,Các chi phí không phân bổ > Thu nhập khác,Thu nhập khác,,,13.347.273.067,,,13347273067.0
Chi phí khác,Các chi phí không phân bổ > Chi phí khác,Chi phí khác,,,374.890.887,,,374890887.0
"Lãi trong công ty liên doanh, liên kết","Các chi phí không phân bổ > Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",,,146.910.225.624,,,146910225624.0
Chi phí thuế TNDN hiện hành,Các chi phí không phân bổ > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,313.256.437.116,,,313256437116.0
Chi phí thuế TNDN hoãn lại,Các chi phí không phân bổ > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,45.457.318.644,,,45457318644.0
Lợi ích cố đông không kiểm soát,Các chi phí không phân bổ > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,,,(5.929.739.558),,,-5929739558.0
Lợi nhuận sau thuế công ty mẹ,Các chi phí không phân bổ > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,1.647.476.267.498,,,1647476267498.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Lợi nhuận của ACV,Trong đó: > Lợi nhuận của ACV,Lợi nhuận của ACV,,,1.647.476.267.498,,,1647476267498.0
Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,,,,,,
Tài sản không phân bổ,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý > Tài sản không phân bổ,Tài sản không phân bổ,,,56.902.290.813.532,,,56902290813532.0
Nợ phải trả không phân bổ,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,19.337.072.333.645,,,19337072333645.0
