row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,17.326.792.046.523,19.337.072.333.645,300.0,,17326792046523.0,19337072333645.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,3.688.003.367.556,3.892.509.191.498,310.0,,3688003367556.0,3892509191498.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,16,606.684.265.758,823.447.129.546,311.0,16.0,606684265758.0,823447129546.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,58.993.445.333,12.927.966.240,312.0,,58993445333.0,12927966240.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,17,9.568.682.965,91.583.743.313,313.0,17.0,9568682965.0,91583743313.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,933.857.049.063,781.357.537.174,314.0,,933857049063.0,781357537174.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,18,140.814.237.747,191.160.023.921,315.0,18.0,140814237747.0,191160023921.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,2.771.787.054,4.205.161.877,318.0,,2771787054.0,4205161877.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,19,1.196.845.378.311,1.172.275.047.674,319.0,19.0,1196845378311.0,1172275047674.0
8. Vay ngắn hạn,8. Vay ngắn hạn,8. Vay ngắn hạn,320,21,362.423.564.971,247.880.046.877,320.0,21.0,362423564971.0,247880046877.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,,376.044.956.354,567.672.534.876,322.0,,376044956354.0,567672534876.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,13.638.788.678.967,15.444.563.142.147,330.0,,13638788678967.0,15444563142147.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,19,63.393.074.867,77.852.184.940,337.0,19.0,63393074867.0,77852184940.0
2. Vay dài hạn,2. Vay dài hạn,2. Vay dài hạn,338,21,13.565.918.596.579,15.345.303.220.047,338.0,21.0,13565918596579.0,15345303220047.0
3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,341,29.3,407.711.498,296.762.715,341.0,293.0,407711498.0,296762715.0
4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,342,20,9.069.296.023,21.110.974.445,342.0,20.0,9069296023.0,21110974445.0
D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,400,,37.652.691.877.590,37.565.218.479.887,400.0,,37652691877590.0,37565218479887.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,22,37.652.691.877.590,37.565.218.479.887,410.0,22.0,37652691877590.0,37565218479887.0
1. Vốn cổ phần- Cổ phiếu phổ thông có quyền biểu quyết,1. Vốn cổ phần- Cổ phiếu phổ thông có quyền biểu quyết,1. Vốn cổ phần- Cổ phiếu phổ thông có quyền biểu quyết,411,,21.771.732.360.000,21.771.732.360.000,411.0,,21771732360000.0,21771732360000.0
1. Vốn cổ phần- Cổ phiếu phổ thông có quyền biểu quyết,1. Vốn cổ phần- Cổ phiếu phổ thông có quyền biểu quyết,1. Vốn cổ phần- Cổ phiếu phổ thông có quyền biểu quyết,411a,,21.771.732.360.000,21.771.732.360.000,,,21771732360000.0,21771732360000.0
2. Thăng dư vốn cổ phần,2. Thăng dư vốn cổ phần,2. Thăng dư vốn cổ phần,412,,14.602.790.587,14.602.790.587,412.0,,14602790587.0,14602790587.0
3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,3. Cổ phiếu quỹ,415,,(2.918.680.000),(2.918.680.000),415.0,,-2918680000.0,-2918680000.0
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,,6.034.593.641.645,6.034.593.641.645,418.0,,6034593641645.0,6034593641645.0
5. Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân lũy kế đến cuối năm trước,5. Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân lũy kế đến cuối năm trước,5. Lợi nhuận sau thuế chưa phân phối- Lợi nhuận sau thuế chưa phân lũy kế đến cuối năm trước,421,,9.792.696.331.399,9.705.052.958.099,421.0,,9792696331399.0,9705052958099.0
