row_label_raw,row_label_full,col_0,Dịch vụVND,Bán hàngVND,Tổng cộngVND,numeric__Dịch vụVND,numeric__Bán hàngVND,numeric__Tổng cộngVND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,4.559.025.529.867,193.010.525.338,4.752.036.055.205,4559025529867.0,193010525338.0,4752036055205.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
Giá vốn hàng bán,Chi phí bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,5.460.155.093.634,77.234.674.510,5.537.389.768.144,5460155093634.0,77234674510.0,5537389768144.0
Chi phí bán hàng,Chi phí bộ phận > Chi phí bán hàng,Chi phí bán hàng,-,84.663.450.420,84.663.450.420,,84663450420.0,84663450420.0
Kết quả hoạt động kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,(901.129.563.767),31.112.400.408,(870.017.163.359),-901129563767.0,31112400408.0,-870017163359.0
Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,Các chi phí không phân bổ,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,1.231.835.815.756,,,1231835815756.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,3.253.718.649.228,,,3253718649228.0
Chi phí tài chính,Các chi phí không phân bổ > Chi phí tài chính,Chi phí tài chính,,,204.089.149.329,,,204089149329.0
Thu nhập khác,Các chi phí không phân bổ > Thu nhập khác,Thu nhập khác,,,9.788.660.601,,,9788660601.0
Chi phí khác,Các chi phí không phân bổ > Chi phí khác,Chi phí khác,,,540.590.870,,,540590870.0
"Lãi trong công ty liên doanh, liên kết","Các chi phí không phân bổ > Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",,,33.260.644.371,,,33260644371.0
Chi phí thuế TNDN hiện hành,Các chi phí không phân bổ > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,168.550.545.143,,,168550545143.0
Chi phí thuế TNDN hoãn lại,Các chi phí không phân bổ > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,32.135.218.733,,,32135218733.0
Lợi ích cổ đông không kiểm soát,Các chi phí không phân bổ > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,(169.975.597),,,-169975597.0
Lợi nhuận sau thuế công ty mẹ,Các chi phí không phân bổ > Lợi nhuận sau thuế công ty mẹ,Lợi nhuận sau thuế công ty mẹ,,,789.769.446.607,,,789769446607.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Lợi nhuận của ACV,Trong đó: > Lợi nhuận của ACV,Lợi nhuận của ACV,,,479.772.413.300,,,479772413300.0
Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Trong đó: > Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,,,309.997.033.307,,,309997033307.0
Tài sản không phân bổ,Trong đó: > Tài sản không phân bổ,Tài sản không phân bổ,,,54.979.483.924.113,,,54979483924113.0
Nợ phải trả không phân bổ,Trong đó: > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,17.326.792.046.523,,,17326792046523.0
