row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 30),Số cuối nămVND > 3.089.436.158,Số đầu nămVND > 4.266.768.447,numeric__Số cuối nămVND > 3.089.436.158,numeric__Số đầu nămVND > 4.266.768.447
Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,603.594.829.600,819.180.361.099,603594829600.0,819180361099.0
Công ty Cổ phần Phát triển Thương mại và Công nghệ Sản xuất Mới,Công ty Cổ phần Phát triển Thương mại và Công nghệ Sản xuất Mới,Công ty Cổ phần Phát triển Thương mại và Công nghệ Sản xuất Mới,92.588.573.000,2.046.143.000,92588573000.0,2046143000.0
Công ty Cổ phần Thiết bị và Công nghệ VTG,Công ty Cổ phần Thiết bị và Công nghệ VTG,Công ty Cổ phần Thiết bị và Công nghệ VTG,75.987.414.317,97.915.490.267,75987414317.0,97915490267.0
Tổng Công ty Xây dựng Công trình Hàng không ACC,Tổng Công ty Xây dựng Công trình Hàng không ACC,Tổng Công ty Xây dựng Công trình Hàng không ACC,50.804.503.145,59.519.024.314,50804503145.0,59519024314.0
Công ty Cổ phần Sản xuất và Bảo dưỡng Thiết bị Hàng không,Công ty Cổ phần Sản xuất và Bảo dưỡng Thiết bị Hàng không,Công ty Cổ phần Sản xuất và Bảo dưỡng Thiết bị Hàng không,28.015.944.000,-,28015944000.0,
Công ty TNHH Liên doanh Xây dựng VIC,Công ty TNHH Liên doanh Xây dựng VIC,Công ty TNHH Liên doanh Xây dựng VIC,25.587.623.100,29.064.587.198,25587623100.0,29064587198.0
Công ty Cổ phần Thương mại Duy Anh,Công ty Cổ phần Thương mại Duy Anh,Công ty Cổ phần Thương mại Duy Anh,23.456.134.684,28.835.691.862,23456134684.0,28835691862.0
Công ty TNHH Phát triển Thương mại Hải Phương,Công ty TNHH Phát triển Thương mại Hải Phương,Công ty TNHH Phát triển Thương mại Hải Phương,21.804.464.000,24.530.022.000,21804464000.0,24530022000.0
JRP International Pte Ltd - Singapore,JRP International Pte Ltd - Singapore,JRP International Pte Ltd - Singapore,14.434.094.515,14.434.094.515,14434094515.0,14434094515.0
Công ty TNHH Thương mại Khánh Thiện,Công ty TNHH Thương mại Khánh Thiện,Công ty TNHH Thương mại Khánh Thiện,14.386.347.899,837.366.899,14386347899.0,837366899.0
Công ty Cổ phần Thăng Long,Công ty Cổ phần Thăng Long,Công ty Cổ phần Thăng Long,14.309.337.531,16.924.066.807,14309337531.0,16924066807.0
New Asia Wave International Pte. Ltd,New Asia Wave International Pte. Ltd,New Asia Wave International Pte. Ltd,13.273.621.194,71.514.577.275,13273621194.0,71514577275.0
Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,Công ty TNHH Thời trang và Mỹ phẩm Âu Châu,11.572.188.763,13.897.149.484,11572188763.0,13897149484.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,217.374.583.452,459.662.147.478,217374583452.0,459662147478.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,606.684.265.758,823.447.129.546,606684265758.0,823447129546.0
