row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,26.175.171.773.942,13.803.816.018.441,2.792.988.324.731,119.328.834.903,42.891.304.952.017,26175171773942.0,13803816018441.0,2792988324731.0,119328834903.0,42891304952017.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,124.545.455,477.070.192.569,167.517.434.046,2.428.112.999,647.140.285.069,124545455.0,477070192569.0,167517434046.0,2428112999.0,647140285069.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,(92.336.313.297),147.907.707.193,-,-,55.571.393.896,-92336313297.0,147907707193.0,,,55571393896.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(838.600.200),(43.322.541.688),(5.208.139.659),(7.182.786.178),(56.552.067.725),-838600200.0,-43322541688.0,-5208139659.0,-7182786178.0,-56552067725.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,26.082.121.405.900,14.385.471.376.515,2.955.297.619.118,114.574.161.724,43.537.464.563.257,26082121405900.0,14385471376515.0,2955297619118.0,114574161724.0,43537464563257.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,14.711.157.397.013,11.809.372.734.123,1.941.360.920.834,96.049.432.583,28.557.940.484.553,14711157397013.0,11809372734123.0,1941360920834.0,96049432583.0,28557940484553.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.546.742.424.595,727.629.297.470,247.259.574.979,5.952.171.561,2.527.583.468.605,1546742424595.0,727629297470.0,247259574979.0,5952171561.0,2527583468605.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,(838.600.200),(43.322.541.688),(5.208.139.659),(7.182.786.178),(56.552.067.725),-838600200.0,-43322541688.0,-5208139659.0,-7182786178.0,-56552067725.0
Chuyển nhóm tài sản,Giá trị hao mòn lũy kế: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,(85.420.342.890),85.420.342.890,-,-,-,-85420342890.0,85420342890.0,,,
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,16.171.640.878.518,12.579.099.832.795,2.183.412.356.154,94.818.817.966,31.028.971.885.433,16171640878518.0,12579099832795.0,2183412356154.0,94818817966.0,31028971885433.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,11.464.014.376.929,1.994.443.284.318,851.627.403.897,23.279.402.320,14.333.364.467.464,11464014376929.0,1994443284318.0,851627403897.0,23279402320.0,14333364467464.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,9.910.480.527.382,1.806.371.543.720,771.885.262.964,19.755.343.758,12.508.492.677.824,9910480527382.0,1806371543720.0,771885262964.0,19755343758.0,12508492677824.0
