row_label_raw,row_label_full,col_0,Số đầu nămVND,Phân loại vay dài hạnđến hạn trảVND,Trà gốc trong nămVND,Đánh giá chênh lệch tỷ giáVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Phân loại vay dài hạnđến hạn trảVND,numeric__Trà gốc trong nămVND,numeric__Đánh giá chênh lệch tỷ giáVND,numeric__Số cuối nămVND
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,247.880.046.877,403.961.997.518,(247.880.046.877),(41.538.432.547),362.423.564.971,247880046877.0,403961997518.0,-247880046877.0,-41538432547.0,362423564971.0
Ngân hàng hợp tác Quốc tế Nhật Bản –Dự án xây dựng nhà ga hành khách Quốctế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (i),Ngân hàng hợp tác Quốc tế Nhật Bản –Dự án xây dựng nhà ga hành khách Quốctế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (i),Ngân hàng hợp tác Quốc tế Nhật Bản –Dự án xây dựng nhà ga hành khách Quốctế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (i),159.493.434.073,164.018.640.824,(159.493.434.073),(17.866.890.631),146.151.750.193,159493434073.0,164018640824.0,-159493434073.0,-17866890631.0,146151750193.0
Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT,Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT,Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT,88.386.612.804,90.413.828.694,(88.386.612.804),(8.919.749.916),81.494.078.778,88386612804.0,90413828694.0,-88386612804.0,-8919749916.0,81494078778.0
Nội Bài bằng nguồn vốn ODA (ii),Nội Bài bằng nguồn vốn ODA (ii),Nội Bài bằng nguồn vốn ODA (ii),,,,,,,,,,
Hiệp định vay vốn VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT,Nội Bài bằng nguồn vốn ODA (ii) > Hiệp định vay vốn VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT,Hiệp định vay vốn VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT,-,149.529.528.000,-,(14.751.792.000),134.777.736.000,,149529528000.0,,-14751792000.0,134777736000.0
Nội Bài bằng nguồn vốn ODA (iii),Nội Bài bằng nguồn vốn ODA (iii),Nội Bài bằng nguồn vốn ODA (iii),,,,,,,,,,
Dài hạn,Nội Bài bằng nguồn vốn ODA (iii) > Dài hạn,Dài hạn,15.345.303.220.047,(403.961.997.518),-,(1.375.422.625.950),13.565.918.596.579,15345303220047.0,-403961997518.0,,-1375422625950.0,13565918596579.0
Ngân hàng hợp tác Quốc tế Nhật Bản –Dự án xây dựng nhà ga hành khách Quốctế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (i),Nội Bài bằng nguồn vốn ODA (iii) > Ngân hàng hợp tác Quốc tế Nhật Bản –Dự án xây dựng nhà ga hành khách Quốctế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (i),Ngân hàng hợp tác Quốc tế Nhật Bản –Dự án xây dựng nhà ga hành khách Quốctế sân bay Tân Sơn Nhất bằng nguồn vốn ODA (i),3.280.372.816.441,(164.018.640.824),-,(314.885.671.070),2.801.468.504.547,3280372816441.0,-164018640824.0,,-314885671070.0,2801468504547.0
Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT,Nội Bài bằng nguồn vốn ODA (iii) > Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT,Hiệp định vay vốn VNXVII-6 Dự án xây dựng nhà ga T2 Cảng HKQT,2.576.794.125.584,(90.413.828.694),-,(222.993.748.600),2.263.386.548.290,2576794125584.0,-90413828694.0,,-222993748600.0,2263386548290.0
Nội Bài bằng nguồn vốn ODA (ii),Nội Bài bằng nguồn vốn ODA (ii),Nội Bài bằng nguồn vốn ODA (ii),,,,,,,,,,
Hiệp định vay vốn VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT,Nội Bài bằng nguồn vốn ODA (ii) > Hiệp định vay vốn VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT,Hiệp định vay vốn VN11-P6 Dự án xây dựng nhà ga T2 Cảng HKQT,4.561.019.000.000,(149.529.528.000),-,(395.649.280.000),4.015.840.192.000,4561019000000.0,-149529528000.0,,-395649280000.0,4015840192000.0
Nội Bài bằng nguồn vốn ODA (iii),Nội Bài bằng nguồn vốn ODA (iii),Nội Bài bằng nguồn vốn ODA (iii),,,,,,,,,,
Hiệp định vay vốn VN13-P3 Dự án xây dựng nhà ga T2 Cảng HKQT,Nội Bài bằng nguồn vốn ODA (iii) > Hiệp định vay vốn VN13-P3 Dự án xây dựng nhà ga T2 Cảng HKQT,Hiệp định vay vốn VN13-P3 Dự án xây dựng nhà ga T2 Cảng HKQT,4.927.117.278.022,-,-,(441.893.926.280),4.485.223.351.742,4927117278022.0,,,-441893926280.0,4485223351742.0
Nội Bài (iv),Nội Bài (iv),Nội Bài (iv),,,,,,,,,,
TỔNG CỘNG,Nội Bài (iv) > TỔNG CỘNG,TỔNG CỘNG,15.593.183.266.924,-,(247.880.046.877),(1.416.961.058.497),13.928.342.161.550,15593183266924.0,,-247880046877.0,-1416961058497.0,13928342161550.0
