row_label_raw,row_label_full,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Số cuối năm VND > 67.038.868.486,Số đầu năm VND > -,numeric__Số cuối năm VND > 67.038.868.486,numeric__Số đầu năm VND > -
Công ty Cổ Phần Hệ thống Công nghệ ETC,Công ty Cổ Phần Hệ thống Công nghệ ETC,Công ty Cổ Phần Hệ thống Công nghệ ETC,37.316.724.000,-,37316724000.0,
Công ty Cổ phần Dịch vụ và Kỹ thuật Cơ điện lạnh REE,Công ty Cổ phần Dịch vụ và Kỹ thuật Cơ điện lạnh REE,Công ty Cổ phần Dịch vụ và Kỹ thuật Cơ điện lạnh REE,35.326.000.000,-,35326000000.0,
Công ty TNHH MTV Thiết kế và Tư vấn Xây dựng Công trình hàng không ADCC,Công ty TNHH MTV Thiết kế và Tư vấn Xây dựng Công trình hàng không ADCC,Công ty TNHH MTV Thiết kế và Tư vấn Xây dựng Công trình hàng không ADCC,25.148.509.999,7.731.953.560,25148509999.0,7731953560.0
"Heerim Architects & Planners Co., Ltd.","Heerim Architects & Planners Co., Ltd.","Heerim Architects & Planners Co., Ltd.",23.488.004.250,-,23488004250.0,
Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu An Tâm,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu An Tâm,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu An Tâm,18.671.262.400,19.667.932.900,18671262400.0,19667932900.0
"Hội đồng bồi thường, hỗ trợ và tái định cư Dự án Mở rộng Cảng hàng không quốc tế Phú Bài tại Thị xã Hương Thủy","Hội đồng bồi thường, hỗ trợ và tái định cư Dự án Mở rộng Cảng hàng không quốc tế Phú Bài tại Thị xã Hương Thủy","Hội đồng bồi thường, hỗ trợ và tái định cư Dự án Mở rộng Cảng hàng không quốc tế Phú Bài tại Thị xã Hương Thủy",16.794.345.255,-,16794345255.0,
Công ty TNHH Kỹ thuật Quản lý bay,Công ty TNHH Kỹ thuật Quản lý bay,Công ty TNHH Kỹ thuật Quản lý bay,16.306.218.143,-,16306218143.0,
Công ty Cổ phần Thiết bị Mỹ Kim,Công ty Cổ phần Thiết bị Mỹ Kim,Công ty Cổ phần Thiết bị Mỹ Kim,14.720.000.000,-,14720000000.0,
Công ty Cổ phần Công trình và Thương mại Giao thông vận tải,Công ty Cổ phần Công trình và Thương mại Giao thông vận tải,Công ty Cổ phần Công trình và Thương mại Giao thông vận tải,11.793.110.348,11.793.110.348,11793110348.0,11793110348.0
Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,Công ty TNHH Xây dựng Lưu Nguyễn,11.495.565.529,-,11495565529.0,
Tổng công ty tư vấn thiết kế giao thông vận tải (TEDI),Tổng công ty tư vấn thiết kế giao thông vận tải (TEDI),Tổng công ty tư vấn thiết kế giao thông vận tải (TEDI),9.492.911.204,141.000.000,9492911204.0,141000000.0
Công ty Cổ Phần Cầu 7 Thăng Long,Công ty Cổ Phần Cầu 7 Thăng Long,Công ty Cổ Phần Cầu 7 Thăng Long,9.304.000.000,-,9304000000.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,108.138.383.680,221.735.202.368,108138383680.0,221735202368.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,405.033.903.294,261.069.199.176,405033903294.0,261069199176.0
