row_label_raw,row_label_full,Số đầu năm > Phần lợi nhuận từ các công ty liên kết trong năm > Cổ tức được chia trong năm,534.123.778.825 > 33.260.644.371 > (107.222.647.500),numeric__534.123.778.825 > 33.260.644.371 > (107.222.647.500)
Điều chỉnh do giảm tỷ lệ sở hữu trong công ty liên kết,Điều chỉnh do giảm tỷ lệ sở hữu trong công ty liên kết,Điều chỉnh do giảm tỷ lệ sở hữu trong công ty liên kết,(65.613.586.632),-65613586632.0
Số cuối năm,Số cuối năm,Số cuối năm,394.548.189.064,394548189064.0
