row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
A. TÀI SẢN NGẢN HẠN,A. TÀI SẢN NGẢN HẠN,A. TÀI SẢN NGẢN HẠN,100,,37.567.953.864.201,37.974.177.859.901,100.0,,37567953864201.0,37974177859901.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,572.833.249.811,498.768.321.787,110.0,4.0,572833249811.0,498768321787.0
1. Tiền,1. Tiền,1. Tiền,111,,571.833.249.811,498.768.321.787,111.0,,571833249811.0,498768321787.0
2. Các khoản đương tiền,2. Các khoản đương tiền,2. Các khoản đương tiền,112,,1.000.000.000,-,112.0,,1000000000.0,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,32.717.000.000.000,33.185.000.000.000,120.0,,32717000000000.0,33185000000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,5,32.717.000.000.000,33.185.000.000.000,123.0,5.0,32717000000000.0,33185000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,3.660.055.407.281,3.810.895.583.006,130.0,,3660055407281.0,3810895583006.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,2.729.716.323.820,2.317.849.912.901,131.0,6.0,2729716323820.0,2317849912901.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,405.033.903.294,261.069.199.176,132.0,7.0,405033903294.0,261069199176.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,1.020.786.874.785,1.290.932.411.325,136.0,8.0,1020786874785.0,1290932411325.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(495.481.694.618),(58.955.940.396),137.0,9.0,-495481694618.0,-58955940396.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,289.723.600.756,356.975.953.720,140.0,10.0,289723600756.0,356975953720.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,289.723.600.756,356.975.953.720,141.0,,289723600756.0,356975953720.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,328.341.606.353,122.538.001.388,150.0,,328341606353.0,122538001388.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,13.576.772.812,23.383.556.523,151.0,11.0,13576772812.0,23383556523.0
