row_label_raw,row_label_full,Indicator,Audited Financial Statements for 2025,Self-prepared Financial Statements for 2025,Increase/Decrease Difference (+/-),Increase/Decrease Difference (+/-)_1,numeric__Audited Financial Statements for 2025,numeric__Self-prepared Financial Statements for 2025,numeric__Increase/Decrease Difference (+/-),numeric__Increase/Decrease Difference (+/-)_1
Profit after tax,Profit after tax,Profit after tax,"56,433,878,280 VND","53,462,662,724 VND",Value,Rate,,,,
Profit after tax,Profit after tax > Profit after tax,Profit after tax,"56,433,878,280 VND","53,462,662,724 VND","2,971,215,556 VND",5.56%,,,,5.56
