row_label_raw,row_label_full,col_0,Tại 31/12/2025,Tại 31/12/2024,numeric__Tại 31/12/2025,numeric__Tại 31/12/2024
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,85.640,49.757,85640.0,49757.0
Phải trả cho nhân viên,Phải trả cho nhân viên,Phải trả cho nhân viên,40.082,22.335,40082.0,22335.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",45.558,27.422,45558.0,27422.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,292.841,252.043,292841.0,252043.0
"Các khoản phải trả, phải nộp NSNN (Xem thuyết minh V.20)","Các khoản phải trả, phải nộp NSNN (Xem thuyết minh V.20)","Các khoản phải trả, phải nộp NSNN (Xem thuyết minh V.20)",184.066,139.193,184066.0,139193.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,20.205,21.033,20205.0,21033.0
Các khoản chờ thanh toán – nghiệp vụ tín dụng,Các khoản chờ thanh toán – nghiệp vụ tín dụng,Các khoản chờ thanh toán – nghiệp vụ tín dụng,67.703,75.603,67703.0,75603.0
Các khoản chờ thanh toán – nghiệp vụ đầu tư,Các khoản chờ thanh toán – nghiệp vụ đầu tư,Các khoản chờ thanh toán – nghiệp vụ đầu tư,3.150,3.060,3150.0,3060.0
Chi phí trích trước,Chi phí trích trước,Chi phí trích trước,276,267,276.0,267.0
Phải trả Nhà cung cấp,Phải trả Nhà cung cấp,Phải trả Nhà cung cấp,10.028,10.252,10028.0,10252.0
"Phải trả cho các đối tác thu hộ, chi hộ","Phải trả cho các đối tác thu hộ, chi hộ","Phải trả cho các đối tác thu hộ, chi hộ",1.335,430,1335.0,430.0
Tiền thu từ việc bán nợ,Tiền thu từ việc bán nợ,Tiền thu từ việc bán nợ,1.150,-,1150.0,
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,4.928,2.205,4928.0,2205.0
Cộng,Cộng,Cộng,378.481,301.800,378481.0,301800.0
