row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tại chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,"Vốn đầu tư XDCB, mua sắm TSCĐ",Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tại chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,"numeric__Vốn đầu tư XDCB, mua sắm TSCĐ",numeric__Tổng cộng
Số dư tại ngày 01 tháng 01 năm 2024,Số dư tại ngày 01 tháng 01 năm 2024,Số dư tại ngày 01 tháng 01 năm 2024,7.042.483,350.562,29.991,241.248,159.644,629.962,2.328,8.456.218,7042483.0,350562.0,29991.0,241248.0,159644.0,629962.0,2328.0,8456218.0
Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,Tăng vốn từ phát hành cổ phiếu để trả cổ tức trong năm,563.175,-,-,-,-,(563.175),-,-,563175.0,,,,,-563175.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,560.822,-,560.822,,,,,,560822.0,,560822.0
Trích lập các quỹ trong năm từ lợi nhuận năm trước,Trích lập các quỹ trong năm từ lợi nhuận năm trước,Trích lập các quỹ trong năm từ lợi nhuận năm trước,-,-,-,32.838,16.419,(59.109),-,(9.852),,,,32838.0,16419.0,-59109.0,,-9852.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,7.605.658,350.562,29.991,274.086,176.063,568.500,2.328,9.007.188,7605658.0,350562.0,29991.0,274086.0,176063.0,568500.0,2328.0,9007188.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,894.337,-,894.337,,,,,,894337.0,,894337.0
Trích lập các quỹ trong năm từ lợi nhuận năm trước,Trích lập các quỹ trong năm từ lợi nhuận năm trước,Trích lập các quỹ trong năm từ lợi nhuận năm trước,-,-,-,56.082,72.501,(153.819),-,(25.236),,,,56082.0,72501.0,-153819.0,,-25236.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,7.605.658,350.562,29.991,330.168,248.564,1.309.018,2.328,9.876.289,7605658.0,350562.0,29991.0,330168.0,248564.0,1309018.0,2328.0,9876289.0
21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,21.2 Quỹ của Công ty,,,,,,,,
,,,,Tại 31/12/2025,Tại 31/12/2025,Tại 31/12/2024,Tại 31/12/2024,,,,,,,,,,,
Quỹ đầu tư phát triển,21.2 Quỹ của Công ty > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,,29.991,29.991,29.991,29.991,,,,,29991.0,29991.0,29991.0,29991.0,,,
Quỹ dư phòng tài chính,21.2 Quỹ của Công ty > Quỹ dư phòng tài chính,Quỹ dư phòng tài chính,,330.168,330.168,274.086,274.086,,,,,330168.0,330168.0,274086.0,274086.0,,,
Quỹ dư trữ bổ sung vốn điều lệ,21.2 Quỹ của Công ty > Quỹ dư trữ bổ sung vốn điều lệ,Quỹ dư trữ bổ sung vốn điều lệ,,248.564,248.564,176.063,176.063,,,,,248564.0,248564.0,176063.0,176063.0,,,
Cộng,21.2 Quỹ của Công ty > Cộng,Cộng,,608.723,608.723,480.140,480.140,,,,,608723.0,608723.0,480140.0,480140.0,,,
