row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,"Phương tiệnvận tải,truyền dẫn","Thiết bị, dụngcụ quản lý",Tài sản cố địnhhữu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,"numeric__Phương tiệnvận tải,truyền dẫn","numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sản cố địnhhữu hình khác,numeric__Cộng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Số tại 01/01/2025,Nguyên giả > Số tại 01/01/2025,Số tại 01/01/2025,3.280,50.687,23.749,22.968,1.850,107.534,3280.0,50687.0,23749.0,22968.0,1850.0,107534.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,5.000,44,3.795,4.188,555,13.582,5000.0,44.0,3795.0,4188.0,555.0,13582.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.647),(4.369),(5.411),(1.798),(13.225),,-1647.0,-4369.0,-5411.0,-1798.0,-13225.0
Số tại 31/12/2025,Nguyên giả > Số tại 31/12/2025,Số tại 31/12/2025,13.280,49.084,23.175,21.745,607,107.891,13280.0,49084.0,23175.0,21745.0,607.0,107891.0
Trong đó:Đã khấu hao hết nhưng vẫn cònsử dụng,Nguyên giả > Trong đó:Đã khấu hao hết nhưng vẫn cònsử dụng,Trong đó:Đã khấu hao hết nhưng vẫn cònsử dụng,-,12.903,12.139,11.512,107,36.661,,12903.0,12139.0,11512.0,107.0,36661.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số tại 01/01/2025,Giá trị hao mòn > Số tại 01/01/2025,Số tại 01/01/2025,(2.786),(41.481),(16.358),(21.843),(1.424),(83.892),-2786.0,-41481.0,-16358.0,-21843.0,-1424.0,-83892.0
Tăng do trích khấu hao trong năm,Giá trị hao mòn > Tăng do trích khấu hao trong năm,Tăng do trích khấu hao trong năm,(415),(4.710),(1.473),(1.196),(55),(7.849),-415.0,-4710.0,-1473.0,-1196.0,-55.0,-7849.0
"Giảm do thanh lý, nhượng bán","Giá trị hao mòn > Giảm do thanh lý, nhượng bán","Giảm do thanh lý, nhượng bán",-,1.647,2.966,5.410,1.742,11.765,,1647.0,2966.0,5410.0,1742.0,11765.0
Phân loại lại,Giá trị hao mòn > Phân loại lại,Phân loại lại,-,5,-,391,(396),-,,5.0,,391.0,-396.0,
Số tại 31/12/2025,Giá trị hao mòn > Số tại 31/12/2025,Số tại 31/12/2025,(3.201),(44.539),(14.865),(17.238),(133),(79.976),-3201.0,-44539.0,-14865.0,-17238.0,-133.0,-79976.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số tại 01/01/2025,Giá trị còn lại > Số tại 01/01/2025,Số tại 01/01/2025,5.494,9.206,7.391,1.125,426,23.642,5494.0,9206.0,7391.0,1125.0,426.0,23642.0
Số tại 31/12/2025,Giá trị còn lại > Số tại 31/12/2025,Số tại 31/12/2025,10.079,4.545,8.310,4.507,474,27.915,10079.0,4545.0,8310.0,4507.0,474.0,27915.0
