row_label_raw,row_label_full,STT,Chỉ tiêu,Tại 31/12/2025,Tại 31/12/2024,numeric__Chỉ tiêu,numeric__Tại 31/12/2025,numeric__Tại 31/12/2024
1.,1.,1.,Cam kết giao dịch hồi đoái,18.932.173,21.125.874,,18932173.0,21125874.0
1.,1.,1.,Cam kết mua ngoại tệ,526.160,662.017,,526160.0,662017.0
1.,1.,1.,Cam kết bán ngoại tệ,514.200,641.290,,514200.0,641290.0
1.,1.,1.,Cam kết giao dịch hoán đổi,17.891.813,19.822.567,,17891813.0,19822567.0
2.,2.,2.,Bảo lãnh khác,38.359,34.330,,38359.0,34330.0
3.,3.,3.,Lãi cho vay và phí phải thu chưa thu được,277.001,288.070,,277001.0,288070.0
4.,4.,4.,Nợ khó đòi đã xử lý,3.241.811,2.837.771,,3241811.0,2837771.0
5.,5.,5.,Tài sản và chứng từ khác,6.006.185,4.058.200,,6006185.0,4058200.0
