row_label_raw,row_label_full,STT,Chi tiêu,Thuyết minh,Tại 31/12/2025,Tại 31/12/2024,numeric__Chi tiêu,numeric__Thuyết minh,numeric__Tại 31/12/2025,numeric__Tại 31/12/2024
A -,A -,A -,TÀI SẢN,,,,,,,
I,A - > I,I,"Tiền mặt, vàng bạc, đá quý",V.1,7.134,4.360,,,7134.0,4360.0
II,A - > II,II,Tiền gửi tại ngân hàng Nhà nước Việt Nam ('NHNN'),V.2,416.460,497.213,,,416460.0,497213.0
III,A - > III,III,Tiền gửi và cho vay các TCTD khác,V.3,6.408.017,4.891.725,,,6408017.0,4891725.0
1.,A - > 1.,1.,Tiền gửi tại các TCTD khác,V.3.1,6.408.017,4.891.725,,,6408017.0,4891725.0
IV,A - > IV,IV,Chứng khoán kinh doanh,V.4,6.039.085,714.205,,,6039085.0,714205.0
1.,A - > 1.,1.,Chứng khoán kinh doanh,,6.048.391,714.205,,,6048391.0,714205.0
2.,A - > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(9.306),-,,,-9306.0,
V,A - > V,V,Cho vay khách hàng,,60.885.389,46.306.649,,,60885389.0,46306649.0
1.,A - > 1.,1.,Cho vay khách hàng,V.5,61.745.129,46.802.982,,,61745129.0,46802982.0
2.,A - > 2.,2.,Dự phòng rủi ro cho vay khách hàng,V.6,(859.740),(496.333),,,-859740.0,-496333.0
VI,A - > VI,VI,Hoạt động mua nợ,V.7,1.973.090,-,,,1973090.0,
1.,A - > 1.,1.,Mua nợ,,1.988.000,-,,,1988000.0,
2.,A - > 2.,2.,Dự phòng rủi ro hoạt động mua nợ (*),,(14.910),-,,,-14910.0,
VII,A - > VII,VII,Chứng khoán đầu tư,V.8,1.757.528,1.902.188,,,1757528.0,1902188.0
1.,A - > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,1.795.912,2.082.175,,,1795912.0,2082175.0
2.,A - > 2.,2.,Dự phòng rủi ro chứng khoán đầu tư,,(38.384),(179.987),,,-38384.0,-179987.0
VIII,A - > VIII,VIII,"Góp vốn, đầu tư dài hạn",V.9,1.784.216,1.826.477,,,1784216.0,1826477.0
1.,A - > 1.,1.,Đầu tư dài hạn khác,,1.844.487,1.881.987,,,1844487.0,1881987.0
2.,A - > 2.,2.,Dự phòng giảm giá đầu tư dài hạn,,(60.271),(55.510),,,-60271.0,-55510.0
IX,A - > IX,IX,Tài sản cố định,,238.982,65.309,,,238982.0,65309.0
1.,A - > 1.,1.,Tài sản cố định hữu hình,V.10,27.915,23.642,,,27915.0,23642.0
a.,A - > a.,a.,Nguyên giá,,107.891,107.534,,,107891.0,107534.0
b.,A - > b.,b.,Giá trị hao mòn lũy kế,,(79.976),(83.892),,,-79976.0,-83892.0
2.,A - > 2.,2.,Tài sản cố định vô hình,V.11,211.067,41.667,,,211067.0,41667.0
a.,A - > a.,a.,Nguyên giá,,277.209,99.074,,,277209.0,99074.0
b.,A - > b.,b.,Giá trị hao mòn lũy kế,,(66.142),(57.407),,,-66142.0,-57407.0
X,A - > X,X,Tài sản có khác,V.12,3.548.257,3.390.435,,,3548257.0,3390435.0
1.,A - > 1.,1.,Các khoản phải thu,V.12.1,1.372.805,1.958.713,,,1372805.0,1958713.0
2.,A - > 2.,2.,"Các khoản lãi, phí phải thu",V.12.2,2.106.002,1.422.608,,,2106002.0,1422608.0
3.,A - > 3.,3.,Tài sản Có khác,V.12.3,115.010,70.538,,,115010.0,70538.0
4.,A - > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,V.12.4,(46.360),(61.424),,,-46360.0,-61424.0
,,,TỔNG TÀI SẢN CÓ,,83.058.158,59.598.561,,,83058158.0,59598561.0
