row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Tại 31/12/2025,Tại 31/12/2024,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Tại 31/12/2025,numeric__Tại 31/12/2024
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Tiền gửi và vay các TCTD khác,V.13,17.009.221,11.734.293,,,17009221.0,11734293.0
1.,B > 1.,1.,Tiền gửi của các TCTD khác,,6.528.858,3.870.200,,,6528858.0,3870200.0
2.,B > 2.,2.,Vay các TCTD khác,,10.480.363,7.864.093,,,10480363.0,7864093.0
II.,B > II.,II.,Tiền gửi của khách hàng,V.14,14.552.400,10.210.723,,,14552400.0,10210723.0
III.,B > III.,III.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,V.15,255.396,164.717,,,255396.0,164717.0
IV.,B > IV.,IV.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",V.16,8.636.750,8.587.674,,,8636750.0,8587674.0
V.,B > V.,V.,Phát hành giấy tờ có giá,V.17,30.842.000,18.556.000,,,30842000.0,18556000.0
VI.,B > VI.,VI.,Các khoản nợ khác,,1.886.102,1.337.966,,,1886102.0,1337966.0
1.,B > 1.,1.,"Các khoản lãi, phí phải trả",V.18,1.507.621,1.036.166,,,1507621.0,1036166.0
2.,B > 2.,2.,Các khoản phải trả và công nợ khác,V.19,378.481,301.800,,,378481.0,301800.0
,,,TỔNG NỘ PHẢI TRẢ,,73.181.869,50.591.373,,,73181869.0,50591373.0
VII.,B > VII.,VII.,Vốn và các quỹ,V.21,9.876.289,9.007.188,,,9876289.0,9007188.0
1.,B > 1.,1.,Vốn của Công ty,,7.958.548,7.958.548,,,7958548.0,7958548.0
,,,Vốn điều lệ,,7.605.658,7.605.658,,,7605658.0,7605658.0
,,,"Vốn đầu tư XDCB, mua sắm tài sản cố định",,2.328,2.328,,,2328.0,2328.0
,,,Thặng dư vốn cổ phần,,350.562,350.562,,,350562.0,350562.0
2.,B > 2.,2.,Quỹ của Công ty,V.21.2,608.723,480.140,,,608723.0,480140.0
3.,B > 3.,3.,Lợi nhuận chưa phân phối,,1.309.018,568.500,,,1309018.0,568500.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,9.876.289,9.007.188,,,9876289.0,9007188.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,83.058.158,59.598.561,,,83058158.0,59598561.0
