row_label_raw,row_label_full,Tại 31/12/2025,Quá hạn,Không chịu lãi,Thay đổi lãi suất trong khoảng thời gian > Đến 1 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 1-3 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 3-6 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 6-12 tháng,Thay đổi lãi suất trong khoảng thời gian > Từ 1-5 năm,Thay đổi lãi suất trong khoảng thời gian > Trên 5 năm,Đơn vị: Triệu VND Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Thay đổi lãi suất trong khoảng thời gian > Đến 1 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 1-3 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 3-6 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 6-12 tháng,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 1-5 năm,numeric__Thay đổi lãi suất trong khoảng thời gian > Trên 5 năm,numeric__Đơn vị: Triệu VND Tổng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
Tiền mặt,Tải sản > Tiền mặt,Tiền mặt,-,7.134,-,-,-,-,-,-,7.134,,7134.0,,,,,,,7134.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,416.460,-,-,-,-,-,416.460,,,416460.0,,,,,,416460.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,6.329.217,78.800,-,-,-,-,6.408.017,,,6329217.0,78800.0,,,,,6408017.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,104.592,-,1.897.345,1.933.046,2.113.408,-,6.048.391,,,104592.0,,1897345.0,1933046.0,2113408.0,,6048391.0
Cho vay khách hàng và mua nợ (*),Tải sản > Cho vay khách hàng và mua nợ (*),Cho vay khách hàng và mua nợ (*),595.575,-,39.862.996,16.464.008,2.860.011,632.821,131.188,3.186.530,63.733.129,595575.0,,39862996.0,16464008.0,2860011.0,632821.0,131188.0,3186530.0,63733129.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,486.948,-,-,1.000.000,-,258.964,50.000,1.795.912,,486948.0,,,1000000.0,,258964.0,50000.0,1795912.0
"Góp vốn, đầu tư dài hạn","Tải sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,1.844.487,-,-,-,-,-,-,1.844.487,,1844487.0,,,,,,,1844487.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,238.982,-,-,-,-,-,-,238.982,,238982.0,,,,,,,238982.0
Các tài sản Có khác (*),Tải sản > Các tài sản Có khác (*),Các tài sản Có khác (*),52.438,3.542.179,-,-,-,-,-,-,3.594.617,52438.0,3542179.0,,,,,,,3594617.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,648.013,6.119.730,46.713.265,16.542.808,5.757.356,2.565.867,2.503.560,3.236.530,84.087.129,648013.0,6119730.0,46713265.0,16542808.0,5757356.0,2565867.0,2503560.0,3236530.0,84087129.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,6.128.858,950.000,2.549.545,6.352.418,1.028.400,-,17.009.221,,,6128858.0,950000.0,2549545.0,6352418.0,1028400.0,,17009221.0
Tiền gửi khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi khách hàng,Tiền gửi khách hàng,-,-,813.497,2.278.748,3.301.207,4.939.903,3.219.045,-,14.552.400,,,813497.0,2278748.0,3301207.0,4939903.0,3219045.0,,14552400.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,80.204,56.020,71.160,47.992,-,-,255.396,,,80204.0,56020.0,71160.0,47992.0,,,255396.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,64.275,64.275,839.748,4.476.111,3.192.341,8.636.750,,,,64275.0,64275.0,839748.0,4476111.0,3192341.0,8636750.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.365.000,3.947.000,11.812.000,11.238.000,965.000,1.515.000,30.842.000,,,1365000.0,3947000.0,11812000.0,11238000.0,965000.0,1515000.0,30842000.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,-,1.886.102,-,-,-,-,-,-,1.886.102,,1886102.0,,,,,,,1886102.0
Tổng nợ phải trả,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả,Tổng nợ phải trả,-,1.886.102,8.387.559,7.296.043,17.793.207,23.418.061,9.688.556,4.707.341,73.181.869,,1886102.0,8387559.0,7296043.0,17793207.0,23418061.0,9688556.0,4707341.0,73181869.0
