row_label_raw,row_label_full,Tại 31/12/2025,USD được quy đổi,EUR được quy đổi,Các ngoại tệ khác được quy đổi,Cộng,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,147,125,-,272,147.0,125.0,,272.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,26,-,-,26,26.0,,,26.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),149.220,3.223,4.358,156.801,149220.0,3223.0,4358.0,156801.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),8.818.209,-,-,8.818.209,8818209.0,,,8818209.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.079.483,-,-,3.079.483,3079483.0,,,3079483.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),220.075,2,2.242,222.319,220075.0,2.0,2242.0,222319.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,12.267.160,3.350,6.600,12.277.110,12267160.0,3350.0,6600.0,12277110.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,
Tiền gửi của và vay từ Ngân hàng Nhà nước và các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của và vay từ Ngân hàng Nhà nước và các TCTD khác,Tiền gửi của và vay từ Ngân hàng Nhà nước và các TCTD khác,2.964.363,-,-,2.964.363,2964363.0,,,2964363.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",8.636.750,-,-,8.636.750,8636750.0,,,8636750.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,142.029,-,-,142.029,142029.0,,,142029.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,11.743.142,-,-,11.743.142,11743142.0,,,11743142.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,524.018,3.350,6.600,533.968,524018.0,3350.0,6600.0,533968.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",524.018,3.350,6.600,533.968,524018.0,3350.0,6600.0,533968.0
