row_label_raw,row_label_full,col_0,31/12/2015triệu đồng,31/12/2014triệu đồng,numeric__31/12/2015triệu đồng,numeric__31/12/2014triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,5.027.470,42.311,5027470.0,42311.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,17.893.190,25.219.749,17893190.0,25219749.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,4.747.419,7.027.513,4747419.0,7027513.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,13.145.771,18.192.236,13145771.0,18192236.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,62.623.660,63.095.634,62623660.0,63095634.0
Các công cụ tài chính phải sinh và nợ phải trả tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và nợ phải trả tài chính khác,Các công cụ tài chính phải sinh và nợ phải trả tài chính khác,163.899,87.017,163899.0,87017.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",137.000,137.000,137000.0,137000.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,3.297.331,3.000.000,3297331.0,3000000.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,2.049.603,1.945.701,2049603.0,1945701.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",1.247.199,1.445.814,1247199.0,1445814.0
Thuế và các khoản phải trả Nhà nước,NỘ PHẢI TRẢ > Thuế và các khoản phải trả Nhà nước,Thuế và các khoản phải trả Nhà nước,6.244,5.431,6244.0,5431.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,796.160,489.834,796160.0,489834.0
Dự phòng rủi ro cho công nợ tiềm ấn và cam kết ngoại bằng,NỘ PHẢI TRẢ > Dự phòng rủi ro cho công nợ tiềm ấn và cam kết ngoại bằng,Dự phòng rủi ro cho công nợ tiềm ấn và cam kết ngoại bằng,-,4.622,,4622.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,91.192.153,93.527.412,91192153.0,93527412.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,12.035.628,8.286.095,12035628.0,8286095.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,11.750.000,8.000.000,11750000.0,8000000.0
Vốn đầu tư xây dựng cơ bản,VỐN CHỦ SỞ HỮU > Vốn đầu tư xây dựng cơ bản,Vốn đầu tư xây dựng cơ bản,608,607,608.0,607.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,400.000,400.000,400000.0,400000.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,(114.980),(114.512),-114980.0,-114512.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,632.630,478.624,632630.0,478624.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,919.078,645.700,919078.0,645700.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,13.587.336,9.410.419,13587336.0,9410419.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,104.779.489,102.937.831,104779489.0,102937831.0
