row_label_raw,row_label_full,col_0,Số lượng cổ phần,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,Giá trị ghi số (triệu VND),Giá trị hợp lý (triệu VND),Số lượng cổ phần_1,Tỷ lệ biểu quyết_1,Tỷ lệ sở hữu_1,Giá trị ghi số (triệu VND)_1,Giá trị hợp lý (triệu VND)_1,numeric__Số lượng cổ phần,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ sở hữu,numeric__Giá trị ghi số (triệu VND),numeric__Giá trị hợp lý (triệu VND),numeric__Số lượng cổ phần_1,numeric__Tỷ lệ biểu quyết_1,numeric__Tỷ lệ sở hữu_1,numeric__Giá trị ghi số (triệu VND)_1,numeric__Giá trị hợp lý (triệu VND)_1
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,427.715.101,"18,82%","18,82%",3.501.335,14.392.613,427.715.101,"18,82%","18,82%",3.501.335,7.335.314,427715101.0,0.1882,0.1882,3501335.0,14392613.0,427715101.0,0.1882,0.1882,3501335.0,7335314.0
Công ty GeneStory,Công ty GeneStory,Công ty GeneStory,5.755.410,"47,11%","47,11%",71.150,(i),5.755.410,"47,11%","47,11%",71.150,(i),5755410.0,0.4711,0.4711,71150.0,,5755410.0,0.4711,0.4711,71150.0,
Công ty Vinventures,Công ty Vinventures,Công ty Vinventures,1.000.000,"8,00%","8,00%",10.000,(i),-,-,-,-,-,1000000.0,0.08,0.08,10000.0,,,,,,
Công ty Aivicam,Công ty Aivicam,Công ty Aivicam,-,-,-,-,-,835.504,"49,73%","49,73%",8.355,(i),,,,,,835504.0,0.49729999999999996,0.49729999999999996,8355.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.582.485,3.582.485,3.582.485,3.582.485,3.582.485,3.580.840,3.580.840,,,,3582485.0,3582485.0,3582485.0,3582485.0,3582485.0,3580840.0,3580840.0
Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),(60.643),(60.643),(60.643),(60.643),(60.643),(67.994),(67.994),,,,-60643.0,-60643.0,-60643.0,-60643.0,-60643.0,-67994.0,-67994.0
