row_label_raw,row_label_full,(Hoàn nhập)/trích lập dự phòng giảm giá trị các khoản đầu tư,Đơn vị tính: triệu VND > Năm nay > (3.082.169),Đơn vị tính: triệu VND > Năm trước > 521.530,numeric__Đơn vị tính: triệu VND > Năm nay > (3.082.169),numeric__Đơn vị tính: triệu VND > Năm trước > 521.530
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,11.783.073,8.807.766,11783073.0,8807766.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,462.934,1.199.790,462934.0,1199790.0
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,1.018.985,861.755,1018985.0,861755.0
Lỗ từ hoạt động chuyển nhượng vốn,Lỗ từ hoạt động chuyển nhượng vốn,Lỗ từ hoạt động chuyển nhượng vốn,-,285.691,,285691.0
Chi phí từ mua lại trái phiếu hoàn đối (i),Chi phí từ mua lại trái phiếu hoàn đối (i),Chi phí từ mua lại trái phiếu hoàn đối (i),3.430.382,-,3430382.0,
Chi phí tài chính khác (ii),Chi phí tài chính khác (ii),Chi phí tài chính khác (ii),7.115.048,1.265.228,7115048.0,1265228.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.728.253,12.941.760,20728253.0,12941760.0
