row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tư và chuyển nhượng dự án,45.625.410,38.148.829,,,45625410.0,38148829.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Phải trả hoàn cọc,8.400.000,8.400.000,,,8400000.0,8400000.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc chuyển nhượng khoản đầu tư,-,199.700,,,,199700.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Phải trả từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,1.247.494,-,,,1247494.0,
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tư,9.866.905,8.960.099,,,9866905.0,8960099.0
Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty Thành phố Xanh,Công ty con,Phải trả từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,2.751.284,-,,,2751284.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận góp vốn cho mục đích hợp tác đầu tư và chuyển nhượng dự án (*),9.584.841,8.704.090,,,9584841.0,8704090.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Đặt cọc chuyển nhượng bắt động sản (*),3.349.831,-,,,3349831.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Nhận góp vốn cho mục đích hợp tác đầu tư và chuyển nhượng dự án,1.438.845,1.656.312,,,1438845.0,1656312.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tư và chuyển nhượng dự án (*),1.114.855,422.667,,,1114855.0,422667.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tư và chuyển nhượng dự án,644.492,644.492,,,644492.0,644492.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,-,6.076.620,,,,6076620.0
,,,,,84.023.957,73.212.809,,,84023957.0,73212809.0
