row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,3.182.930,5.743.675,3182930.0,5743675.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,636.586,1.148.735,636586.0,1148735.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Thuế TNDN đối với lợi nhuận chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Các khoản điều chỉnh: > Thuế TNDN đối với lợi nhuận chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Thuế TNDN đối với lợi nhuận chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,1.821.623,3.986.729,1821623.0,3986729.0
Lỗ không được cán trừ,Các khoản điều chỉnh: > Lỗ không được cán trừ,Lỗ không được cán trừ,867.355,-,867355.0,
Chi phí lãi vay không được trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được trừ,Chi phí lãi vay không được trừ,778.281,-,778281.0,
Chi phí trích trước mua lại trái phiếu không được trừ,Các khoản điều chỉnh: > Chi phí trích trước mua lại trái phiếu không được trừ,Chi phí trích trước mua lại trái phiếu không được trừ,194.965,-,194965.0,
Thu nhập miễn thuế từ cổ tức được chia,Các khoản điều chỉnh: > Thu nhập miễn thuế từ cổ tức được chia,Thu nhập miễn thuế từ cổ tức được chia,(2.152.439),-,-2152439.0,
Chi phí bồi hoàn không được trừ,Các khoản điều chỉnh: > Chi phí bồi hoàn không được trừ,Chi phí bồi hoàn không được trừ,-,141.366,,141366.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(204.673),,-204673.0
Chi phí lãi vay năm trước chuyển sang,Các khoản điều chỉnh: > Chi phí lãi vay năm trước chuyển sang,Chi phí lãi vay năm trước chuyển sang,-,(82.541),,-82541.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,92.500,64.921,92500.0,64921.0
Chi phí thuế TNDN ước tính,Các khoản điều chỉnh: > Chi phí thuế TNDN ước tính,Chi phí thuế TNDN ước tính,2.238.871,5.054.537,2238871.0,5054537.0
