row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvân tải,Thiết bịquản lý,Tài sản cốđịnh khác,Đơn vị tính: triệu VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvân tải,numeric__Thiết bịquản lý,numeric__Tài sản cốđịnh khác,numeric__Đơn vị tính: triệu VNDTổng cộng
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,541.501,187.416,80.930,163.846,21.882,995.575,541501.0,187416.0,80930.0,163846.0,21882.0,995575.0
Mua trong năm,Nguyên giả: > Mua trong năm,Mua trong năm,-,1.581,28.225,858,4.254,34.918,,1581.0,28225.0,858.0,4254.0,34918.0
"Thanh lý, nhượng bán","Nguyên giả: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.529),(22.889),(455),(5.265),(30.138),,-1529.0,-22889.0,-455.0,-5265.0,-30138.0
Thay đổi khác,Nguyên giả: > Thay đổi khác,Thay đổi khác,(23.717),(921),(1.051),(3.777),-,(29.466),-23717.0,-921.0,-1051.0,-3777.0,,-29466.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,517.784,186.547,85.215,160.472,20.871,970.889,517784.0,186547.0,85215.0,160472.0,20871.0,970889.0
Trong đó:Dã khấu hao hết,Nguyên giả: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,177.666,9.112,10.115,1.250,198.143,,177666.0,9112.0,10115.0,1250.0,198143.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,49.914,101.154,29.757,163.790,2.336,346.951,49914.0,101154.0,29757.0,163790.0,2336.0,346951.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,11.949,17.525,9.030,163,1.741,40.408,11949.0,17525.0,9030.0,163.0,1741.0,40408.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.423),(11.234),(168),(490),(13.315),,-1423.0,-11234.0,-168.0,-490.0,-13315.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(11.554),(426),(1.051),(3.749),-,(16.780),-11554.0,-426.0,-1051.0,-3749.0,,-16780.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,50.309,116.830,26.502,160.036,3.587,357.264,50309.0,116830.0,26502.0,160036.0,3587.0,357264.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,491.587,86.262,51.173,56,19.546,648.624,491587.0,86262.0,51173.0,56.0,19546.0,648624.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,467.475,69.717,58.713,436,17.284,613.625,467475.0,69717.0,58713.0,436.0,17284.0,613625.0
