row_label_raw,row_label_full,Tên,Chức danh,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Chức danh,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Chủ tịch,-,-,,,
Bà Phạm Thúy Hằng,Ông Phạm Nhật Vương > Bà Phạm Thúy Hằng,Bà Phạm Thúy Hằng,Phó Chủ tịch,4.157,2.763,,4157.0,2763.0
Bà Phạm Thu Hương,Ông Phạm Nhật Vương > Bà Phạm Thu Hương,Bà Phạm Thu Hương,Phó Chủ tịch,4.157,2.763,,4157.0,2763.0
Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Phó Chủ tịch,-,-,,,
Ông Nguyễn Việt Quang,Bà Nguyễn Diệu Linh > Ông Nguyễn Việt Quang,Ông Nguyễn Việt Quang,Phó Chủ tịch,4.740,2.782,,4740.0,2782.0
Ông Adil Ahmad,Bà Nguyễn Diệu Linh > Ông Adil Ahmad,Ông Adil Ahmad,Thành viên độc lập,1.313,1.239,,1313.0,1239.0
Ông Chin Michael Jaewuk,Bà Nguyễn Diệu Linh > Ông Chin Michael Jaewuk,Ông Chin Michael Jaewuk,Thành viên độc lập,1.313,1.239,,1313.0,1239.0
Ông Ronaldo Dy-Liacco Ibasco,Bà Nguyễn Diệu Linh > Ông Ronaldo Dy-Liacco Ibasco,Ông Ronaldo Dy-Liacco Ibasco,Thành viên độc lập,1.313,1.239,,1313.0,1239.0
Bà Chun Chae Rhan,Bà Chun Chae Rhan,Bà Chun Chae Rhan,Thành viên đến ngày 25 tháng 2 năm 2025,-,-,,,
TỔNG CỘNG,Bà Chun Chae Rhan > TỔNG CỘNG,TỔNG CỘNG,,16.993,12.025,,16993.0,12025.0
