row_label_raw,row_label_full,col_0,Kinh doanhchuyển nhượngbắt động sản,Kinh doanhdịch vụquản lý,Kinh doanhdịch vụ chothuệ và dịchvụ khác,Tổng cộng,numeric__Kinh doanhchuyển nhượngbắt động sản,numeric__Kinh doanhdịch vụquản lý,numeric__Kinh doanhdịch vụ chothuệ và dịchvụ khác,numeric__Tổng cộng
Doanh thu thuầnDoanh thu thuần,Doanh thu thuầnDoanh thu thuần,Doanh thu thuầnDoanh thu thuần,24.489.754,1.496.352,155.797,26.141.903,24489754.0,1496352.0,155797.0,26141903.0
Tổng doanh thu thuầnKhẩu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhẩu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhẩu hao và hao mòn (bao gồm phân bổtiền thuê đất),24.489.754,1.496.352,155.797,26.141.903,24489754.0,1496352.0,155797.0,26141903.0
Tổng doanh thu thuầnKhẩu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhẩu hao và hao mòn (bao gồm phân bổtiền thuê đất),Tổng doanh thu thuầnKhẩu hao và hao mòn (bao gồm phân bổtiền thuê đất),2.745,47.870,184.466,235.081,2745.0,47870.0,184466.0,235081.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,2.748.643,136.032,(113.999),2.770.676,2748643.0,136032.0,-113999.0,2770676.0
Thu nhập thuần không phân bổ (*),Thu nhập thuần không phân bổ (*),Thu nhập thuần không phân bổ (*),,,,412.254,,,,412254.0
Tài sảnChi phí mua sắm TSCĐ và xây dựngcơ bản tăng trong năm,Tài sảnChi phí mua sắm TSCĐ và xây dựngcơ bản tăng trong năm,Tài sảnChi phí mua sắm TSCĐ và xây dựngcơ bản tăng trong năm,-,34.919,4.231.936,4.266.855,,34919.0,4231936.0,4266855.0
Tài sản theo bộ phận,Tài sản theo bộ phận,Tài sản theo bộ phận,77.517.178,1.009.276,17.938.594,96.465.048,77517178.0,1009276.0,17938594.0,96465048.0
Tài sản không phân bổ (**),Tài sản không phân bổ (**),Tài sản không phân bổ (**),,,,313.920.925,,,,313920925.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,,,,410.385.973,,,,410385973.0
Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,168.549.716,-,18.156.493,186.706.209,168549716.0,,18156493.0,186706209.0
Tổng nợ phải trả không phân bổ (***),Tổng nợ phải trả không phân bổ (***),Tổng nợ phải trả không phân bổ (***),,,,134.612.026,,,,134612026.0
TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,,,321.318.235,,,,321318235.0
