row_label_raw,row_label_full,Ông Nguyễn Thế Anh,Trường Ban kiểm soát,numeric__Trường Ban kiểm soát
Bà Đõ Thị Hồng Vân,Bà Đõ Thị Hồng Vân,Bà Đõ Thị Hồng Vân,Thành viên,
Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Thành viên,
