row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,26.141.903,15.945.461,26141903.0,15945461.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,24.489.754,14.626.339,24489754.0,14626339.0
Doanh thu cung cấp dịch vụ quản lý,Trong đó: > Doanh thu cung cấp dịch vụ quản lý,Doanh thu cung cấp dịch vụ quản lý,1.496.352,1.154.550,1496352.0,1154550.0
"Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan, và doanh thu các hoạt động khác","Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan, và doanh thu các hoạt động khác","Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan, và doanh thu các hoạt động khác",155.797,164.572,155797.0,164572.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,26.141.903,15.945.461,26141903.0,15945461.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,23.654.028,13.773.569,23654028.0,13773569.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,2.487.875,2.171.892,2487875.0,2171892.0
