row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,"numeric__Nhà cửa,vật kiến trúc",numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Tổng cộng,,,
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,2.720.057,658.970,3.379.027,2720057.0,658970.0,3379027.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Nguyên giả: > Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Xây dựng cơ bản hoàn thành(Thuyết minh số 16),4.949.961,450.736,5.400.697,4949961.0,450736.0,5400697.0
"Thanh lý, nhượng bán","Nguyên giả: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(515.424),(116.997),(632.421),-515424.0,-116997.0,-632421.0
Thay đổi khác,Nguyên giả: > Thay đổi khác,Thay đổi khác,(28.102),1.387,(26.715),-28102.0,1387.0,-26715.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,7.126.492,994.096,8.120.588,7126492.0,994096.0,8120588.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,334.002,269.047,603.049,334002.0,269047.0,603049.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,87.235,56.515,143.750,87235.0,56515.0,143750.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.174),(6.127),(14.301),-8174.0,-6127.0,-14301.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,11.554,-,11.554,11554.0,,11554.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,424.617,319.435,744.052,424617.0,319435.0,744052.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.386.055,389.923,2.775.978,2386055.0,389923.0,2775978.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,6.701.875,674.661,7.376.536,6701875.0,674661.0,7376536.0
