row_label_raw,row_label_full,Số đầu năm > Tăng trong năm,Đơn vị tính: triệu VND > Năm nay > 7.432.666 > 7.954.643,Đơn vị tính: triệu VND > Năm trước > 4.246.982 > 4.884.523,numeric__Đơn vị tính: triệu VND > Năm nay > 7.432.666 > 7.954.643,numeric__Đơn vị tính: triệu VND > Năm trước > 4.246.982 > 4.884.523
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(243.246),,-243246.0
Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Chuyển sang bất động sản đầu tư(Thuyết minh số 15),(5.400.697),(1.455.593),-5400697.0,-1455593.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(773.824),-,-773824.0,
Thay đổi khác,Thay đổi khác,Thay đổi khác,(3.546.964),-,-3546964.0,
Số cuối năm,Số cuối năm,Số cuối năm,5.665.824,7.432.666,5665824.0,7432666.0
