row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 23) > Công ty Xavinco (i),Mối quan hệ > Vay ngắn hạn (Thuyết minh số 23) > Công ty con,Số cuối nămTriệu VND > Vay ngắn hạn (Thuyết minh số 23) > 762.882,Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 23) > 12,Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 23) > Tháng 12 năm 2026,numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 23) > Công ty con,numeric__Số cuối nămTriệu VND > Vay ngắn hạn (Thuyết minh số 23) > 762.882,numeric__Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 23) > 12,numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 23) > Tháng 12 năm 2026
,,,,762.882,,,,762882.0,,
Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),Vay dài hạn (Thuyết minh số 23),,,,
Công ty VinAcademy (i),Vay dài hạn (Thuyết minh số 23) > Công ty VinAcademy (i),Công ty VinAcademy (i),Công ty con,14.560.000,12,Từ tháng 1 đến tháng2 năm 2027,,14560000.0,12.0,
Công ty Vinsmart (i),Vay dài hạn (Thuyết minh số 23) > Công ty Vinsmart (i),Công ty Vinsmart (i),Công ty con,8.320.889,12,Tháng 7 năm 2027,,8320889.0,12.0,
Công ty VinRobotics (i),Vay dài hạn (Thuyết minh số 23) > Công ty VinRobotics (i),Công ty VinRobotics (i),Công ty con,8.223.500,12,Tháng 7 năm 2027,,8223500.0,12.0,
Công ty VinMotion (i),Vay dài hạn (Thuyết minh số 23) > Công ty VinMotion (i),Công ty VinMotion (i),Công ty con,3.209.913,12,Tháng 7 năm 2027,,3209913.0,12.0,
Công ty VinDynamics (i),Vay dài hạn (Thuyết minh số 23) > Công ty VinDynamics (i),Công ty VinDynamics (i),Công ty con,2.941.000,12,Tháng 2 năm 2027,,2941000.0,12.0,
Công ty World Academy (i),Vay dài hạn (Thuyết minh số 23) > Công ty World Academy (i),Công ty World Academy (i),Công ty con,1.709.000,12,Tháng 7 năm 2027,,1709000.0,12.0,
"Các công ty khác (i), (ii)","Vay dài hạn (Thuyết minh số 23) > Các công ty khác (i), (ii)","Các công ty khác (i), (ii)",Công ty con,278.100,12,Từ tháng 6 đến tháng7 năm 2027,,278100.0,12.0,
,,,,39.242.402,,,,39242402.0,,
