row_label_raw,row_label_full,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phần,Số cuối năm > Giá trị ghi số (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số cuối năm > Tỉ lệ vốn nằm giữ trực tiếp (iii),Số đầu năm > Số lượng cổ phần,Số đầu năm > Giá trị ghi số (triệu VND),Số đầu năm > Giá trị hợp lý (triệu VND),Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp (iii),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phần,numeric__Số cuối năm > Giá trị ghi số (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Tỉ lệ vốn nằm giữ trực tiếp (iii),numeric__Số đầu năm > Số lượng cổ phần,numeric__Số đầu năm > Giá trị ghi số (triệu VND),numeric__Số đầu năm > Giá trị hợp lý (triệu VND),numeric__Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp (iii)
Công ty VinFast,Công ty VinFast,Công ty VinFast,(1),(iv),144.823.089,(ii),(iv),(iv),84.160.898,(ii),(iv),-1.0,,144823089.0,,,,84160898.0,,
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,,3.019.227.680,27.875.791,374.384.232,"73,51%",3.019.227.680,27.875.791,120.769.107,"73,51%",,3019227680.0,27875791.0,374384232.0,0.7351000000000001,3019227680.0,27875791.0,120769107.0,0.7351000000000001
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,(2),1.050.826.579,13.053.303,(ii),"50,53%",3.025.846.724,34.515.878,(ii),"84,53%",-2.0,1050826579.0,13053303.0,,0.5053,3025846724.0,34515878.0,,0.8453
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,(3),1.533.453.474,21.403.075,144.451.317,"85,51%",1.473.520.957,17.126.890,(ii),"85,51%",-3.0,1533453474.0,21403075.0,144451317.0,0.8551000000000001,1473520957.0,17126890.0,,0.8551000000000001
Công ty VinMetal,Công ty VinMetal,Công ty VinMetal,(4),1.470.000.000,14.700.000,(ii),"98,00%",-,-,-,-,-4.0,1470000000.0,14700000.0,,0.98,,,,
Công ty VMC Holding,Công ty VMC Holding,Công ty VMC Holding,,596.658.288,5.966.583,(ii),"75,00%",596.658.288,5.966.583,(ii),"75,00%",,596658288.0,5966583.0,,0.75,596658288.0,5966583.0,,0.75
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,(5),(i),2.280.023,(ii),"98,70%",(i),2.171.450,(ii),"98,70%",-5.0,,2280023.0,,0.987,,2171450.0,,0.987
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,,190.875.000,2.071.029,(ii),"95,44%",190.875.000,2.071.029,(ii),"95,44%",,190875000.0,2071029.0,,0.9544,190875000.0,2071029.0,,0.9544
Công ty VinFast Invest,Công ty VinFast Invest,Công ty VinFast Invest,(1),(iv),1.568.175,(ii),(iv),(iv),1.568.175,(ii),(iv),-1.0,,1568175.0,,,,1568175.0,,
Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,,138.810.945,1.395.330,18.329.014,"83,32%",138.810.945,1.395.330,23.975.889,"83,32%",,138810945.0,1395330.0,18329014.0,0.8331999999999999,138810945.0,1395330.0,23975889.0,0.8331999999999999
