row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến chuyển nhượng bất động sản,Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến chuyển nhượng bất động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến chuyển nhượng bất động sản,19.775.276,5.417.194,19775276.0,5417194.0
Phải trả theo thư tín dụng (*),Ngắn hạn > Phải trả theo thư tín dụng (*),Phải trả theo thư tín dụng (*),1.301.487,-,1301487.0,
"Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản","Ngắn hạn > Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản","Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản",1.180.626,7.835.351,1180626.0,7835351.0
Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Ngắn hạn > Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,-,9.131.458,,9131458.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,952.142,2.263.687,952142.0,2263687.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,23.209.531,24.647.690,23209531.0,24647690.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,23.130.364,9.214.032,23130364.0,9214032.0
Phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 33.2),Phải trả các bên liên quan (Thuyết minh số 33.2),79.167,15.433.658,79167.0,15433658.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liền danh và chuyển nhượng các dự án bất động sản","Dài hạn > Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liền danh và chuyển nhượng các dự án bất động sản","Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liền danh và chuyển nhượng các dự án bất động sản",76.793.684,61.495.240,76793684.0,61495240.0
Phải trả tiền đặt cọc theo biên bản thanh lý thỏa thuận hợp tác phát triển (**),Dài hạn > Phải trả tiền đặt cọc theo biên bản thanh lý thỏa thuận hợp tác phát triển (**),Phải trả tiền đặt cọc theo biên bản thanh lý thỏa thuận hợp tác phát triển (**),8.400.000,8.400.000,8400000.0,8400000.0
Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Dài hạn > Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,3.998.777,-,3998777.0,
Đặt cọc để chuyển nhượng các khoản đầu tư,Dài hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,519.233,6.795.553,519233.0,6795553.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,89.711.694,76.690.793,89711694.0,76690793.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 33.2),Phải trả các bên liên quan (Thuyết minh số 33.2),84.023.957,73.212.809,84023957.0,73212809.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,5.687.737,3.477.984,5687737.0,3477984.0
