row_label_raw,row_label_full,Số tiền đi vay thực thu trong năm,Đơn vị tính: triệu VND > Năm nay > Số tiền đi vay thực thu trong năm,Đơn vị tính: triệu VND > Năm trước > Số tiền đi vay thực thu trong năm,numeric__Đơn vị tính: triệu VND > Năm nay > Số tiền đi vay thực thu trong năm,numeric__Đơn vị tính: triệu VND > Năm trước > Số tiền đi vay thực thu trong năm
Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,127.210.397,98.037.706,127210397.0,98037706.0
Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,8.401.198,-,8401198.0,
Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,24.321.118,13.495.214,24321118.0,13495214.0
Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,Số tiền đã thực trả gốc vay trong năm,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(130.730.490),(53.038.346),-130730490.0,-53038346.0
Tiền trả nợ gốc trái phiếu hoán đổi,Số tiền đã thực trả gốc vay trong năm > Tiền trả nợ gốc trái phiếu hoán đổi,Tiền trả nợ gốc trái phiếu hoán đổi,(8.156.592),(16.359.402),-8156592.0,-16359402.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(692.416),(6.975.000),-692416.0,-6975000.0
