row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,38.785.833,39.140.273,66.000,9.503.385,87.495.491,38785833.0,39140273.0,66000.0,9503385.0,87495491.0
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Trả cổ tức cổ phiếu ưu đãi,Năm trước > - Trả cổ tức cổ phiếu ưu đãi,- Trả cổ tức cổ phiếu ưu đãi,-,-,-,(60.950),(60.950),,,,-60950.0,-60950.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,689.138,689.138,,,,689138.0,689138.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,38.785.833,39.140.273,71.000,10.126.573,88.123.679,38785833.0,39140273.0,71000.0,10126573.0,88123679.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,38.785.833,39.140.273,71.000,10.126.573,88.123.679,38785833.0,39140273.0,71000.0,10126573.0,88123679.0
- Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông,Năm nay > - Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông,- Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông,18.931,(18.931),-,-,-,18931.0,-18931.0,,,
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Phát hành cổ phiếu từ thăng dư vốn cổ phần,Năm nay > - Phát hành cổ phiếu từ thăng dư vốn cổ phần,- Phát hành cổ phiếu từ thăng dư vốn cổ phần,38.530.155,(38.530.155),-,-,-,38530155.0,-38530155.0,,,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,944.059,944.059,,,,944059.0,944059.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,77.334.919,591.187,76.000,11.065.632,89.067.738,77334919.0,591187.0,76000.0,11065632.0,89067738.0
