row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND",Trang thiết bịvăn phòngVND,Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND",numeric__Trang thiết bịvăn phòngVND,numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2015,Nguyên giá: > Tại ngày 01/01/2015,Tại ngày 01/01/2015,999.033.164.933,48.962.238.801,374.460.005.000,251.001.533.079,2.046.766.676,1.675.503.708.489,999033164933.0,48962238801.0,374460005000.0,251001533079.0,2046766676.0,1675503708489.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,80.321.778.803,2.363.533.829,29.885.840.942,11.693.329.156,148.280.000,124.412.762.730,80321778803.0,2363533829.0,29885840942.0,11693329156.0,148280000.0,124412762730.0
- Mua sầm,Nguyên giá: > - Mua sầm,- Mua sầm,47.828.727.793,786.806.948,28.276.096.715,10.385.933.856,148.280.000,87.425.845.312,47828727793.0,786806948.0,28276096715.0,10385933856.0,148280000.0,87425845312.0
- Kết chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > - Kết chuyển từ xây dựng cơ bản dở dang,- Kết chuyển từ xây dựng cơ bản dở dang,32.493.051.010,1.576.726.881,1.609.744.227,1.223.766.800,-,36.903.288.918,32493051010.0,1576726881.0,1609744227.0,1223766800.0,,36903288918.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,-,-,83.628.500,-,83.628.500,,,,83628500.0,,83628500.0
Giảm trong năm,Nguyên giá: > Giảm trong năm,Giảm trong năm,-,(577.574.230),(6.527.833.486),(1.866.984.366),-,(8.972.392.082),,-577574230.0,-6527833486.0,-1866984366.0,,-8972392082.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(493.945.730),(6.527.833.486),(1.866.984.366),-,(8.888.763.582),,-493945730.0,-6527833486.0,-1866984366.0,,-8888763582.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,(83.628.500),-,-,-,(83.628.500),,-83628500.0,,,,-83628500.0
Tại ngày 31/12/2015,Nguyên giá: > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.079.354.943.736,50.748.198.400,397.818.012.456,260.827.877.869,2.195.046.676,1.790.944.079.137,1079354943736.0,50748198400.0,397818012456.0,260827877869.0,2195046676.0,1790944079137.0
Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2015,Hao mòn lũy kế: > Tại ngày 01/01/2015,Tại ngày 01/01/2015,338.711.778.981,38.220.646.468,270.086.833.943,199.158.634.632,1.088.489.580,847.266.383.604,338711778981.0,38220646468.0,270086833943.0,199158634632.0,1088489580.0,847266383604.0
Tăng trong năm,Hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,39.750.226.963,5.375.578.862,44.627.547.400,21.615.139.799,271.588.131,111.640.081.155,39750226963.0,5375578862.0,44627547400.0,21615139799.0,271588131.0,111640081155.0
- Khấu hao trong năm,Hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,39.750.226.963,5.375.578.862,44.627.547.400,21.605.098.384,271.588.131,111.630.039.740,39750226963.0,5375578862.0,44627547400.0,21605098384.0,271588131.0,111630039740.0
- Phân loại lại,Hao mòn lũy kế: > - Phân loại lại,- Phân loại lại,-,-,-,10.041.415,-,10.041.415,,,,10041415.0,,10041415.0
Giảm trong năm,Hao mòn lũy kế: > Giảm trong năm,Giảm trong năm,-,(503.987.145),(6.427.535.021),(1.847.578.114),-,(8.779.100.280),,-503987145.0,-6427535021.0,-1847578114.0,,-8779100280.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(493.945.730),(6.427.535.021),(1.847.578.114),-,(8.769.058.865),,-493945730.0,-6427535021.0,-1847578114.0,,-8769058865.0
- Phân loại lại,Hao mòn lũy kế: > - Phân loại lại,- Phân loại lại,-,(10.041.415),-,-,-,(10.041.415),,-10041415.0,,,,-10041415.0
Tại ngày 31/12/2015,Hao mòn lũy kế: > Tại ngày 31/12/2015,Tại ngày 31/12/2015,378.462.005.944,43.092.238.185,308.286.846.322,218.926.196.317,1.360.077.711,950.127.364.479,378462005944.0,43092238185.0,308286846322.0,218926196317.0,1360077711.0,950127364479.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2015,Giá trị còn lại: > Tại ngày 01/01/2015,Tại ngày 01/01/2015,660.321.385.952,10.741.592.333,104.373.171.057,51.842.898.447,958.277.096,828.237.324.885,660321385952.0,10741592333.0,104373171057.0,51842898447.0,958277096.0,828237324885.0
Tại ngày 31/12/2015,Giá trị còn lại: > Tại ngày 31/12/2015,Tại ngày 31/12/2015,700.892.937.792,7.655.960.215,89.531.166.134,41.901.681.552,834.968.965,840.816.714.658,700892937792.0,7655960215.0,89531166134.0,41901681552.0,834968965.0,840816714658.0
