row_label_raw,row_label_full,Các bên liên quan,Phải thu/(phải trả),Ngày 31 tháng 12 năm 2015 VND,Ngày 31 tháng 12 năm 2014 VND,numeric__Phải thu/(phải trả),numeric__Ngày 31 tháng 12 năm 2015 VND,numeric__Ngày 31 tháng 12 năm 2014 VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,
Bảo Việt Tokio Marine,Công ty liên doanh > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Phải thu phí quản lý quỹ,404.422.106,82.832.020,,404422106.0,82832020.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Baovietbank,Công ty liên kết > Baovietbank,Baovietbank,Số dư tiền gửi và lãi dự thu,4.376.926.016.034,2.659.911.466.830,,4376926016034.0,2659911466830.0
Baovietbank,Công ty liên kết > Baovietbank,Baovietbank,Số dư trái phiếu và lãi dự thu,1.304.230.339.097,-,,1304230339097.0,
Baovietbank,Công ty liên kết > Baovietbank,Baovietbank,Số dư các hợp đồng mua bán lại trái phiếu chính phủ,981.657.183.148,968.966.923.952,,981657183148.0,968966923952.0
Baovietbank,Công ty liên kết > Baovietbank,Baovietbank,Phải thu phí CNTT,2.047.020.900,2.320.830.407,,2047020900.0,2320830407.0
Baovietbank,Công ty liên kết > Baovietbank,Baovietbank,Phải trả tiền đặt cọc thuê nhà,(583.927.840),(631.924.300),,-583927840.0,-631924300.0
Baovietbank,Công ty liên kết > Baovietbank,Baovietbank,Số dư khoản vay,(2.010.470.000),(1.468.750.000),,-2010470000.0,-1468750000.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Phải thu liên quan đến hoạt động xây lắp,37.380.915.504,23.007.019.823,,37380915504.0,23007019823.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Đặt cọc tham gia dự án TT3 – Thành phố Giao lưu,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Phải trả tiền mua các căn hộ thuộc dự án Thành phố Giao lưu,(76.089.775.001),(36.728.486.787),,-76089775001.0,-36728486787.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Phải trả tạm ứng cổ tức,(8.100.000.000),(73.881.550.723),,-8100000000.0,-73881550723.0
