row_label_raw,row_label_full,31 tháng 12 năm 2014,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh,numeric__Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,857.662,149.723,762.224,79.720,(424.511),1.424.818,857662.0,149723.0,762224.0,79720.0,-424511.0,1424818.0
Các khoản phải thu từ hoạt động tái bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động tái bảo hiểm,Các khoản phải thu từ hoạt động tái bảo hiểm,-,280.707,-,-,-,280.707,,280707.0,,,,280707.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,20.602,723.042,-,-,-,743.644,20602.0,723042.0,,,,743644.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,1.172.692,-,-,-,1.172.692,,1172692.0,,,,1172692.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,1.499.553,157.441,672.154,142.296,(941.636),1.529.808,1499553.0,157441.0,672154.0,142296.0,-941636.0,1529808.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,27.557.026,4.602.254,11.179.856,-,(4.299.369),39.039.767,27557026.0,4602254.0,11179856.0,,-4299369.0,39039767.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,1.111,45.492,630.217,-,14.380,691.200,1111.0,45492.0,630217.0,,14380.0,691200.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,256.591,213.419,322.014,26.834,9.379,828.237,256591.0,213419.0,322014.0,26834.0,9379.0,828237.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,341.043,375.552,53.908,14.640,-,785.143,341043.0,375552.0,53908.0,14640.0,,785143.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,94.761,626.068,53.501,261.069,37.051,1.072.450,94761.0,626068.0,53501.0,261069.0,37051.0,1072450.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,30.628.349,8.346.390,13.673.874,524.559,(5.604.706),47.568.466,30628349.0,8346390.0,13673874.0,524559.0,-5604706.0,47568466.0
NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,NỘ PHẢI TRÁ,,,,,,
Nợ phải trả ngắn hạn,NỘ PHẢI TRÁ > Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,4.001.832,1.842.296,740.759,221.677,(727.768),6.078.796,4001832.0,1842296.0,740759.0,221677.0,-727768.0,6078796.0
Nợ dài hạn,NỘ PHẢI TRÁ > Nợ dài hạn,Nợ dài hạn,59.323,1.396,-,1.123,-,61.842,59323.0,1396.0,,1123.0,,61842.0
Quỹ dự phòng nghiệp vụ bảo hiểm,NỘ PHẢI TRÁ > Quỹ dự phòng nghiệp vụ bảo hiểm,Quỹ dự phòng nghiệp vụ bảo hiểm,24.198.508,4.412.498,-,-,-,28.611.006,24198508.0,4412498.0,,,,28611006.0
TỔNG NỘ PHẢI TRÁ,NỘ PHẢI TRÁ > TỔNG NỘ PHẢI TRÁ,TỔNG NỘ PHẢI TRÁ,28.259.663,6.256.190,740.759,222.800,(727.768),34.751.644,28259663.0,6256190.0,740759.0,222800.0,-727768.0,34751644.0
NGUỒN VÒN CHỦ SỞ HỮU,NỘ PHẢI TRÁ > NGUỒN VÒN CHỦ SỞ HỮU,NGUỒN VÒN CHỦ SỞ HỮU,2.368.686,2.090.200,12.933.115,301.759,(4.876.938),12.816.822,2368686.0,2090200.0,12933115.0,301759.0,-4876938.0,12816822.0
TỔNG NGUỒN VÒN,NỘ PHẢI TRÁ > TỔNG NGUỒN VÒN,TỔNG NGUỒN VÒN,30.628.349,8.346.390,13.673.874,524.559,(5.604.706),47.568.466,30628349.0,8346390.0,13673874.0,524559.0,-5604706.0,47568466.0
