row_label_raw,row_label_full,col_0,Các nghĩa vụ hợp đồng bảo hiểm gốc và nhận tái bảo hiểm VND,Các nghĩa vụ hợp đồng tái bảo hiểm (tài sản tái bảo hiểm) VND,Các nghĩa vụ thuần VND,numeric__Các nghĩa vụ hợp đồng bảo hiểm gốc và nhận tái bảo hiểm VND,numeric__Các nghĩa vụ hợp đồng tái bảo hiểm (tài sản tái bảo hiểm) VND,numeric__Các nghĩa vụ thuần VND
Tại ngày 01 tháng 01 năm 2015,Tại ngày 01 tháng 01 năm 2015,Tại ngày 01 tháng 01 năm 2015,2.976.305.404.023,(551.077.133.757),2.425.228.270.266,2976305404023.0,-551077133757.0,2425228270266.0
Số trích lập thêm/(hoản nhập) trong năm,Số trích lập thêm/(hoản nhập) trong năm,Số trích lập thêm/(hoản nhập) trong năm,76.114.811.442,34.440.768.612,110.555.580.054,76114811442.0,34440768612.0,110555580054.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,3.052.420.215.465,(516.636.365.145),2.535.783.850.320,3052420215465.0,-516636365145.0,2535783850320.0
