row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2015,Nguyên giá: > Tại ngày 01/01/2015,Tại ngày 01/01/2015,769.590.801.434,229.269.866.651,3.926.917.739,1.002.787.585.824,769590801434.0,229269866651.0,3926917739.0,1002787585824.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,-,99.224.750.200,-,99.224.750.200,,99224750200.0,,99224750200.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Tại ngày 31/12/2015,Giảm trong năm > Tại ngày 31/12/2015,Tại ngày 31/12/2015,769.590.801.434,328.494.616.851,3.926.917.739,1.102.012.336.024,769590801434.0,328494616851.0,3926917739.0,1102012336024.0
Khấu hao luỷ kế:,Khấu hao luỷ kế:,Khấu hao luỷ kế:,Khấu hao luỷ kế:,Khấu hao luỷ kế:,Khấu hao luỷ kế:,Khấu hao luỷ kế:,,,,
Tại ngày 01/01/2015,Khấu hao luỷ kế: > Tại ngày 01/01/2015,Tại ngày 01/01/2015,53.359.098.242,160.707.810.255,3.576.832.860,217.643.741.357,53359098242.0,160707810255.0,3576832860.0,217643741357.0
Tăng trong năm,Khấu hao luỷ kế: > Tăng trong năm,Tăng trong năm,7.577.579.259,38.839.136.378,276.990.456,46.693.706.093,7577579259.0,38839136378.0,276990456.0,46693706093.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,,,,
Tại ngày 31/12/2015,Giảm trong năm > Tại ngày 31/12/2015,Tại ngày 31/12/2015,60.936.677.501,199.546.946.633,3.853.823.316,264.337.447.450,60936677501.0,199546946633.0,3853823316.0,264337447450.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2015,Giá trị còn lại: > Tại ngày 01/01/2015,Tại ngày 01/01/2015,716.231.703.192,68.562.056.396,350.084.879,785.143.844.467,716231703192.0,68562056396.0,350084879.0,785143844467.0
Tại ngày 31/12/2015,Giá trị còn lại: > Tại ngày 31/12/2015,Tại ngày 31/12/2015,708.654.123.933,128.947.670.218,73.094.423,837.674.888.574,708654123933.0,128947670218.0,73094423.0,837674888574.0
