row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bất động sản và hoạt động khác,Đơn vị: triệu đồng > Các bút toán điều chỉnh,Đơn vị: triệu đồng > Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bất động sản và hoạt động khác,numeric__Đơn vị: triệu đồng > Các bút toán điều chỉnh,numeric__Đơn vị: triệu đồng > Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,10.114.825,6.091.517,-,-,-,16.206.342,10114825.0,6091517.0,,,,16206342.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(6.289),(1.103.834),-,-,-,(1.110.123),-6289.0,-1103834.0,,,,-1110123.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,928,229.406,-,-,-,230.334,928.0,229406.0,,,,230334.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,10.109.464,5.217.089,-,-,-,15.326.553,10109464.0,5217089.0,,,,15326553.0
Chỉ bồi thường bảo hiểm gốc và chi trả đảo hạn,Chỉ bồi thường bảo hiểm gốc và chi trả đảo hạn,Chỉ bồi thường bảo hiểm gốc và chi trả đảo hạn,(3.056.240),(2.851.941),-,-,-,(5.908.181),-3056240.0,-2851941.0,,,,-5908181.0
Chỉ bồi thường nhận tái bảo hiểm,Chỉ bồi thường nhận tái bảo hiểm,Chỉ bồi thường nhận tái bảo hiểm,-,(175.661),-,-,-,(175.661),,-175661.0,,,,-175661.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,32.020,-,-,-,32.020,,32020.0,,,,32020.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,2.601,410.271,-,-,-,412.872,2601.0,410271.0,,,,412872.0
Tăng dự phòng toán học,Tăng dự phòng toán học,Tăng dự phòng toán học,(5.721.738),-,-,-,-,(5.721.738),-5721738.0,,,,,-5721738.0
Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(9.195),124.523,-,-,-,115.328,-9195.0,124523.0,,,,115328.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,(131.411),-,-,-,(131.411),,-131411.0,,,,-131411.0
Chỉ bồi thường từ quỹ dự phòng dao động lớn,Chỉ bồi thường từ quỹ dự phòng dao động lớn,Chỉ bồi thường từ quỹ dự phòng dao động lớn,-,46.000,-,-,-,46.000,,46000.0,,,,46000.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(101.965),-,-,-,(101.965),,-101965.0,,,,-101965.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.592.309),(1.897.073),-,-,19.272,(3.470.110),-1592309.0,-1897073.0,,,19272.0,-3470110.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(10.376.881),(4.545.237),-,-,19.272,(14.902.846),-10376881.0,-4545237.0,,,19272.0,-14902846.0
Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,(267.417),671.852,-,-,19.272,423.707,-267417.0,671852.0,,,19272.0,423707.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,172.426,33.754,(137.302),68.878,,,172426.0,33754.0,-137302.0,68878.0
Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,Chỉ phí quản lý doanh nghiệp,(1.075.317),(611.495),(358.793),(31.448),65.312,(2.011.741),-1075317.0,-611495.0,-358793.0,-31448.0,65312.0,-2011741.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,2.156.041,305.621,1.354.398,2.697,(928.881),2.889.876,2156041.0,305621.0,1354398.0,2697.0,-928881.0,2889876.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,4.195,3.201,1.703,(442),(3.691),4.966,4195.0,3201.0,1703.0,-442.0,-3691.0,4966.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,-,93.206,93.206,,,,,93206.0,93206.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,817.502,369.179,1.169.734,4.561,(892.084),1.468.892,817502.0,369179.0,1169734.0,4561.0,-892084.0,1468892.0
