row_label_raw,row_label_full,CHÍ TIÊU,Ngày 31 tháng 12năm 2015VND,Ngày 31 tháng 12năm 2014VND,numeric__Ngày 31 tháng 12năm 2015VND,numeric__Ngày 31 tháng 12năm 2014VND
1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),331.716.061.146,376.382.411.665,331716061146.0,376382411665.0
2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),6.269.014.133,6.269.014.133,6269014133.0,6269014133.0
3. Ngoại tệ (USD),3. Ngoại tệ (USD),3. Ngoại tệ (USD),5.519,1.890.847,5519.0,1890847.0
4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),22.470.316.240.000,18.164.461.480.000,22470316240000.0,18164461480000.0
5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),1.851.590.450.000,2.291.083.380.000,1851590450000.0,2291083380000.0
6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),10.782.557.674,9.811.997.042,10782557674.0,9811997042.0
7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),431.232.763.618,364.331.088.335,431232763618.0,364331088335.0
8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),18.151.396.529,17.189.486.605,18151396529.0,17189486605.0
9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),(169.525.585.527),(110.439.859.050),-169525585527.0,-110439859050.0
"10. Phải thu lãi tiền gửi, trái phiếu (VND)","10. Phải thu lãi tiền gửi, trái phiếu (VND)","10. Phải thu lãi tiền gửi, trái phiếu (VND)",847.418.213.248,711.551.171.747,847418213248.0,711551171747.0
