row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Quá hạn > Ngày 31 tháng 12 năm 2015,Không kỳ hạn xác định > Ngày 31 tháng 12 năm 2015,Đến 01 năm > Ngày 31 tháng 12 năm 2015,Từ 01 - 05 năm > Ngày 31 tháng 12 năm 2015,Trên 5 năm > Ngày 31 tháng 12 năm 2015,Tổng cộng > Ngày 31 tháng 12 năm 2015,numeric__Quá hạn > Ngày 31 tháng 12 năm 2015,numeric__Không kỳ hạn xác định > Ngày 31 tháng 12 năm 2015,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2015,numeric__Từ 01 - 05 năm > Ngày 31 tháng 12 năm 2015,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2015,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2015
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,2.256.691,-,-,2.256.691,,,2256691.0,,,2256691.0
Phải thu hoạt động bảo hiểm góc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm góc,Phải thu hoạt động bảo hiểm góc,75.165,-,360.009,-,-,435.174,75165.0,,360009.0,,,435174.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,347.212,-,-,347.212,,,347212.0,,,347212.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,1.006.840,-,-,1.006.840,,,1006840.0,,,1006840.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,43.479,-,-,43.479,,,43479.0,,,43479.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,40.729,-,-,40.729,,,40729.0,,,40729.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,2.750,-,-,2.750,,,2750.0,,,2750.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,30.000,-,18.098.705,17.867.314,37.746.959,73.742.978,30000.0,,18098705.0,17867314.0,37746959.0,73742978.0
- Hợp đồng tiền gửi có ký hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,-,-,13.957.883,1.940.206,214.631,16.112.720,,,13957883.0,1940206.0,214631.0,16112720.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,30.000,-,4.140.822,15.927.108,37.532.328,57.630.258,30000.0,,4140822.0,15927108.0,37532328.0,57630258.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,1.342.703,-,-,-,1.342.703,,1342703.0,,,,1342703.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,886.963,-,-,-,886.963,,886963.0,,,,886963.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,321.092,-,-,-,321.092,,321092.0,,,,321092.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,134.648,-,-,-,134.648,,134648.0,,,,134648.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,223.517,-,-,-,223.517,,223517.0,,,,223517.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,3.499,-,1.804.893,-,-,1.808.392,3499.0,,1804893.0,,,1808392.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,22.567,-,243.393,-,-,265.960,22567.0,,243393.0,,,265960.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,131.231,1.566.220,24.161.222,17.867.314,37.746.959,81.472.946,131231.0,1566220.0,24161222.0,17867314.0,37746959.0,81472946.0
