row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2014,Chưa quá hạn và không giảm giá trị VND,Quá hạn nhưng không giảm giá trị riêng biết VND,Bị giảm giá trị riêng biết (*) VND,Tổng VND,numeric__Chưa quá hạn và không giảm giá trị VND,numeric__Quá hạn nhưng không giảm giá trị riêng biết VND,numeric__Bị giảm giá trị riêng biết (*) VND,numeric__Tổng VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.424.818.218.079,-,-,1.424.818.218.079,1424818218079.0,,,1424818218079.0
Phải thu hoạt động bảo hiểm góc,TÀI SẢN > Phải thu hoạt động bảo hiểm góc,Phải thu hoạt động bảo hiểm góc,400.178.346.908,98.675.729.173,58.914.689.421,557.768.765.502,400178346908.0,98675729173.0,58914689421.0,557768765502.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,280.706.615.396,-,-,280.706.615.396,280706615396.0,,,280706615396.0
Tái sản tái bảo hiểm,TÀI SẢN > Tái sản tái bảo hiểm,Tái sản tái bảo hiểm,1.172.691.822.391,-,-,1.172.691.822.391,1172691822391.0,,,1172691822391.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,39.061.146.979,-,-,39.061.146.979,39061146979.0,,,39061146979.0
"- Các khoản cẩm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cẩm cố, ký quỹ, ký cược","- Các khoản cẩm cố, ký quỹ, ký cược",39.011.757.679,-,-,39.011.757.679,39011757679.0,,,39011757679.0
- Phải thu cổ tức,TÀI SẢN > - Phải thu cổ tức,- Phải thu cổ tức,49.389.300,-,-,49.389.300,49389300.0,,,49389300.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,35.200.435.620.454,-,554.752.316.504,35.755.187.936.958,35200435620454.0,,554752316504.0,35755187936958.0
- Hợp đồng tiền gửi có ký hạn,TÀI SẢN > - Hợp đồng tiền gửi có ký hạn,- Hợp đồng tiền gửi có ký hạn,16.709.237.436.988,-,-,16.709.237.436.988,16709237436988.0,,,16709237436988.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,18.491.198.183.466,-,554.752.316.504,19.045.950.499.970,18491198183466.0,,554752316504.0,19045950499970.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,1.649.889.609.649,907.930.936,138.334.594,1.650.935.875.179,1649889609649.0,907930936.0,138334594.0,1650935875179.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,313.052.616.009,2.092.668.166,888.135.183,316.033.419.358,313052616009.0,2092668166.0,888135183.0,316033419358.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,40.480.833.995.865,101.676.328.275,614.693.475.702,41.197.203.799.842,40480833995865.0,101676328275.0,614693475702.0,41197203799842.0
