row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thếng dưvốn cổ phầnVND,Chênh lệch tỷ giáhối đoài (*)VND,Quỹ đầu tưphát triểnVND,Quỹ khác thuộcvốn chủ sở hữu(**)VND,Lợi nhuậnsau thuêchưa phần phốiVND,Quỹ dự trữbắt buộc hoạtđộng báo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thếng dưvốn cổ phầnVND,numeric__Chênh lệch tỷ giáhối đoài (*)VND,numeric__Quỹ đầu tưphát triểnVND,numeric__Quỹ khác thuộcvốn chủ sở hữu(**)VND,numeric__Lợi nhuậnsau thuêchưa phần phốiVND,numeric__Quỹ dự trữbắt buộc hoạtđộng báo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,6.804.714.340.000,3.184.332.381.197,16.075.608.000,21.712.503.565,103.568.802.818,1.867.073.385.965(680.471.434.000),246.015.752.941,573.328.298.527(1.300.000.000),12.816.821.073.013(881.771.434.000),6804714340000.0,3184332381197.0,16075608000.0,21712503565.0,103568802818.0,,246015752941.0,,
Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi cho năm 2014(***),Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi cho năm 2014(***),Cổ tức chia cho cổ đôngTrích quỹ khen thưởngphúc lợi cho năm 2014(***),-,-,-,-,-,(56.067.524.963),-,-,(56.067.524.963),,,,,,-56067524963.0,,,-56067524963.0
Trích quỹ phúc lợi nhànkỷ niệm 50 năm thành lậpBảo Việt (***),Trích quỹ phúc lợi nhànkỷ niệm 50 năm thành lậpBảo Việt (***),Trích quỹ phúc lợi nhànkỷ niệm 50 năm thành lậpBảo Việt (***),-,-,-,-,-,(33.640.514.978),-,-,(33.640.514.978),,,,,,-33640514978.0,,,-33640514978.0
Trích quỹ phục vụ hoạtđộng An sinh xã nổi (***),Trích quỹ phục vụ hoạtđộng An sinh xã nổi (***),Trích quỹ phục vụ hoạtđộng An sinh xã nổi (***),-,-,-,-,-,(11.213.504.993),-,-,(11.213.504.993),,,,,,-11213504993.0,,,-11213504993.0
Trích lập quỹ đầu tư pháttriển (**),Trích lập quỹ đầu tư pháttriển (**),Trích lập quỹ đầu tư pháttriển (**),-,-,-,112.135.049.926,-,(112.135.049.926),-,-,-,,,,112135049926.0,,-112135049926.0,,,
Lợi nhuận tăng trong nămTrích quỹ khen thưởngphúc lợi cho năm 2015,Lợi nhuận tăng trong nămTrích quỹ khen thưởngphúc lợi cho năm 2015,Lợi nhuận tăng trong nămTrích quỹ khen thưởngphúc lợi cho năm 2015,-,-,-,-,-,1.128.007.144.420,-,46.924.275.754,1.174.931.420.174,,,,,,1128007144420.0,,46924275754.0,1174931420174.0
Chỉ trả thủ lao Hội đồngQuản trị và Ban Kiểmscơt của Tập đoàn và cácCông ty con,Chỉ trả thủ lao Hội đồngQuản trị và Ban Kiểmscơt của Tập đoàn và cácCông ty con,Chỉ trả thủ lao Hội đồngQuản trị và Ban Kiểmscơt của Tập đoàn và cácCông ty con,-,-,-,-,-,(5.574.478.876),-,(2.724.057.357),(8.298.536.233),,,,,,-5574478876.0,,-2724057357.0,-8298536233.0
Trích lập các quỹ dự trữGiảm khác,Trích lập các quỹ dự trữGiảm khác,Trích lập các quỹ dự trữGiảm khác,-,-,-,8.521.724.455,-,(2.493.115.434)(54.955.161.286),46.433.436.831,(22.800.000),(2.515.915.434),,,,8521724455.0,,,46433436831.0,-22800000.0,-2515915434.0
Trích lập các quỹ dự trữGiảm khác,Trích lập các quỹ dự trữGiảm khác,Trích lập các quỹ dự trữGiảm khác,-,-,-,-,-,(58.180.680),-,4.364.922,(53.815.738),,,,,,-58180680.0,,4364922.0,-53815738.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,6.804.714.340.000,3.184.332.381.197,16.075.608.000,142.369.277.946,103.568.802.818,2.038.471.565.269,292.449.189.772,616.210.081.846,13.198.191.246.848,6804714340000.0,3184332381197.0,16075608000.0,142369277946.0,103568802818.0,2038471565269.0,292449189772.0,616210081846.0,13198191246848.0
