row_label_raw,row_label_full,31 tháng 12 năm 2014,Giá trị ghi sổ > Nguyên giá VND > 31 tháng 12 năm 2014,Giá trị ghi sổ > Dự phòng giảm giá trị VND > 31 tháng 12 năm 2014,Giá trị ghi sổ > Tổng VND > 31 tháng 12 năm 2014,Giá trị hợp lý > VND > 31 tháng 12 năm 2014,numeric__Giá trị ghi sổ > Nguyên giá VND > 31 tháng 12 năm 2014,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND > 31 tháng 12 năm 2014,numeric__Giá trị ghi sổ > Tổng VND > 31 tháng 12 năm 2014,numeric__Giá trị hợp lý > VND > 31 tháng 12 năm 2014
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,36.317.787.936.958,(562.600.000.000),35.755.187.936.958,38.166.982.821.275,36317787936958.0,-562600000000.0,35755187936958.0,38166982821275.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,17.151.837.436.988,(442.600.000.000),16.709.237.436.988,16.944.672.897.574,17151837436988.0,-442600000000.0,16709237436988.0,16944672897574.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,19.165.950.499.970,(120.000.000.000),19.045.950.499.970,21.222.309.923.701,19165950499970.0,-120000000000.0,19045950499970.0,21222309923701.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.800.946.274.580,(434.945.963.067),1.366.000.311.513,1.597.480.179.837,1800946274580.0,-434945963067.0,1366000311513.0,1597480179837.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.168.681.173.986,(314.300.259.584),854.380.914.402,1.170.268.893.500,1168681173986.0,-314300259584.0,854380914402.0,1170268893500.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,461.611.489.894,(115.050.580.381),346.560.909.513,246.577.802.499,461611489894.0,-115050580381.0,346560909513.0,246577802499.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,170.653.610.700,(5.595.123.102),165.058.487.598,180.633.483.838,170653610700.0,-5595123102.0,165058487598.0,180633483838.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,246.990.899.767,(43.068.720.189),203.922.179.578,404.920.315.563,246990899767.0,-43068720189.0,203922179578.0,404920315563.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.658.312.456.949,(85.483.187.749),1.572.829.269.200,1.572.829.269.200,1658312456949.0,-85483187749.0,1572829269200.0,1572829269200.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,743.644.206.647,(185.875.441.145),557.768.765.502,522.726.132.013,743644206647.0,-185875441145.0,557768765502.0,522726132013.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,280.706.615.396,-,280.706.615.396,280.706.615.396,280706615396.0,,280706615396.0,280706615396.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,1.172.691.822.391,-,1.172.691.822.391,1.172.691.822.391,1172691822391.0,,1172691822391.0,1172691822391.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,392.489.615.481,(38.077.842.537),354.411.772.944,354.411.772.944,392489615481.0,-38077842537.0,354411772944.0,354411772944.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",39.011.757.679,-,39.011.757.679,39.011.757.679,39011757679.0,,39011757679.0,39011757679.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,49.389.300,-,49.389.300,49.389.300,49389300.0,,49389300.0,49389300.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,353.428.468.502,(38.077.842.537),315.350.625.965,315.350.625.965,353428468502.0,-38077842537.0,315350625965.0,315350625965.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.424.818.218.079,-,1.424.818.218.079,1.424.818.218.079,1424818218079.0,,1424818218079.0,1424818218079.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,44.038.388.046.248,(1.350.051.154.687),42.688.336.891.561,45.497.567.146.698,44038388046248.0,-1350051154687.0,42688336891561.0,45497567146698.0
