row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,4.161.624.440,1.030.798.185,4161624440.0,1030798185.0
Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,24.677.241.583,38.942.047.495,24677241583.0,38942047495.0
Bảo hiểm Đầu khí,Bảo hiểm Đầu khí,Bảo hiểm Đầu khí,3.018.594.373,9.413.243.029,3018594373.0,9413243029.0
Bảo hiểm Hàng không,Bảo hiểm Hàng không,Bảo hiểm Hàng không,1.710.206.042,4.203.132.391,1710206042.0,4203132391.0
Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,21.715.028.957,25.241.625.985,21715028957.0,25241625985.0
Bảo hiểm Hòa hoàn và các rủi ro đặc biệt,Bảo hiểm Hòa hoàn và các rủi ro đặc biệt,Bảo hiểm Hòa hoàn và các rủi ro đặc biệt,95.773.674.702,102.833.070.506,95773674702.0,102833070506.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,16.758.958.472,9.867.771.265,16758958472.0,9867771265.0
Bảo Hiểm Nông Nghiệp,Bảo Hiểm Nông Nghiệp,Bảo Hiểm Nông Nghiệp,37.898.630,-,37898630.0,
Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,Bảo hiểm Xe cơ giới,27.756.444,-,27756444.0,
Bảo hiểm Y tế tự nguyện và Bảo hiểmcon người,Bảo hiểm Y tế tự nguyện và Bảo hiểmcon người,Bảo hiểm Y tế tự nguyện và Bảo hiểmcon người,7.780.011.216,-,7780011216.0,
,,,175.660.994.859,191.531.688.856,175660994859.0,191531688856.0
