row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2015 > Giá gốc,Tại ngày 31 tháng 12 năm 2015 > Giá trị ghi số,Tại ngày 31 tháng 12 năm 2014 > Giá gốc,Tại ngày 31 tháng 12 năm 2014 > Giá trị ghi số,numeric__Tại ngày 31 tháng 12 năm 2015 > Giá gốc,numeric__Tại ngày 31 tháng 12 năm 2015 > Giá trị ghi số,numeric__Tại ngày 31 tháng 12 năm 2014 > Giá gốc,numeric__Tại ngày 31 tháng 12 năm 2014 > Giá trị ghi số
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),13.684.741.089.373,13.242.141.089.373,13.033.802.811.170,12.591.202.811.170,13684741089373.0,13242141089373.0,13033802811170.0,12591202811170.0
Trái phiếu (****),Ngắn hạn > Trái phiếu (****),Trái phiếu (****),467.256.550.049,297.256.550.049,449.814.703.179,329.814.703.179,467256550049.0,297256550049.0,449814703179.0,329814703179.0
,,,14.151.997.639.422,13.539.397.639.422,13.483.617.514.349,12.921.017.514.349,14151997639422.0,13539397639422.0,13483617514349.0,12921017514349.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (**),Dài hạn > Tiền gửi (**),Tiền gửi (**),1.686.000.000.000,1.686.000.000.000,3.738.076.354.841,3.738.076.354.841,1686000000000.0,1686000000000.0,3738076354841.0,3738076354841.0
Trái phiếu (****),Dài hạn > Trái phiếu (****),Trái phiếu (****),29.357.730.725.706,29.262.780.262.406,17.845.425.096.532,17.845.425.096.532,29357730725706.0,29262780262406.0,17845425096532.0,17845425096532.0
Tạm ứng từ giá trị giải ước (****),Dài hạn > Tạm ứng từ giá trị giải ước (****),Tạm ứng từ giá trị giải ước (****),802.965.384.557,802.965.384.557,714.879.345.442,714.879.345.442,802965384557.0,802965384557.0,714879345442.0,714879345442.0
,,,31.846.696.110.263,31.751.745.646.963,22.298.380.796.815,22.298.380.796.815,31846696110263.0,31751745646963.0,22298380796815.0,22298380796815.0
,,,45.998.693.749.685,45.291.143.286.385,35.781.998.311.164,35.219.398.311.164,45998693749685.0,45291143286385.0,35781998311164.0,35219398311164.0
