row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Thu từ nhượng tái bảo hiểm,Bảo hiểm nhân thọ > Thu từ nhượng tái bảo hiểm,Thu từ nhượng tái bảo hiểm,2.600.656.750,-,2600656750.0,
,,,2.600.656.750,-,2600656750.0,
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng hóa vận chuyển,Bảo hiểm Hàng hóa vận chuyển,37.670.043.146,16.877.234.246,37670043146.0,16877234246.0
Bảo hiểm Tàu thủy,Bảo hiểm phi nhân thọ > Bảo hiểm Tàu thủy,Bảo hiểm Tàu thủy,102.894.420.498,234.487.417.259,102894420498.0,234487417259.0
Bảo hiểm Dầu khí,Bảo hiểm phi nhân thọ > Bảo hiểm Dầu khí,Bảo hiểm Dầu khí,20.595.120,723.631.184,20595120.0,723631184.0
Bảo hiểm Hàng không,Bảo hiểm phi nhân thọ > Bảo hiểm Hàng không,Bảo hiểm Hàng không,34.947.522.264,23.017.617.806,34947522264.0,23017617806.0
Bảo hiểm Kỹ thuật,Bảo hiểm phi nhân thọ > Bảo hiểm Kỹ thuật,Bảo hiểm Kỹ thuật,43.404.470.670,40.788.921.067,43404470670.0,40788921067.0
Bảo hiểm Trách nhiệm chung,Bảo hiểm phi nhân thọ > Bảo hiểm Trách nhiệm chung,Bảo hiểm Trách nhiệm chung,768.477.958,842.862.389,768477958.0,842862389.0
Bảo hiểm Hóa hoạn và các rủi ro đặc biệt,Bảo hiểm phi nhân thọ > Bảo hiểm Hóa hoạn và các rủi ro đặc biệt,Bảo hiểm Hóa hoạn và các rủi ro đặc biệt,148.161.086.112,250.611.955.587,148161086112.0,250611955587.0
Bảo hiểm Nông nghiệp,Bảo hiểm phi nhân thọ > Bảo hiểm Nông nghiệp,Bảo hiểm Nông nghiệp,32.249.615,(3.060.558.149),32249615.0,-3060558149.0
Bảo hiểm Y tế tự nguyện và Bảo hiểmcon người,Bảo hiểm phi nhân thọ > Bảo hiểm Y tế tự nguyện và Bảo hiểmcon người,Bảo hiểm Y tế tự nguyện và Bảo hiểmcon người,42.371.872.295,26.398.992.194,42371872295.0,26398992194.0
,,,410.270.737.678,590.688.073.583,410270737678.0,590688073583.0
,,,412.871.394.428,590.688.073.583,412871394428.0,590688073583.0
