row_label_raw,row_label_full,col_0,Bảng cán đối kế toán hợp nhất,Bảng cán đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cán đối kế toán hợp nhất,numeric__Bảng cán đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Tại ngày 31 tháng 12 năm2015VND,Tại ngày 31 tháng 12 năm2014VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm2015VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm2014VND,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,32.909.174.875,21.056.965.443,11.852.209.432,10.305.523.368,32909174875.0,21056965443.0,11852209432.0,10305523368.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(4.951.497.020),,(4.951.497.020),794.033.474,-4951497020.0,,-4951497020.0,794033474.0
Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,6.900.712.412,11.099.556.842,,,6900712412.0,11099556842.0
