row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2014,Quá hạn > Ngày 31 tháng 12 năm 2014,Không kỳ hạn xác định > Ngày 31 tháng 12 năm 2014,Đến 01 năm > Ngày 31 tháng 12 năm 2014,Từ 01 - 05 năm > Ngày 31 tháng 12 năm 2014,Trên 5 năm > Ngày 31 tháng 12 năm 2014,Tổng cộng > Ngày 31 tháng 12 năm 2014,numeric__Quá hạn > Ngày 31 tháng 12 năm 2014,numeric__Không kỳ hạn xác định > Ngày 31 tháng 12 năm 2014,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2014,numeric__Từ 01 - 05 năm > Ngày 31 tháng 12 năm 2014,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2014,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2014
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,1.424.818,-,-,1.424.818,,,1424818.0,,,1424818.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,157.591,-,400.178,-,-,557.769,157591.0,,400178.0,,,557769.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,280.707,-,-,280.707,,,280707.0,,,280707.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,1.172.692,-,-,1.172.692,,,1172692.0,,,1172692.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,39.061,-,-,39.061,,,39061.0,,,39061.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",-,-,39.012,-,-,39.012,,,39012.0,,,39012.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,-,-,49,-,-,49,,,49.0,,,49.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,80.000,-,15.499.598,13.885.043,19.386.714,48.851.355,80000.0,,15499598.0,13885043.0,19386714.0,48851355.0
- Hợp đồng tiến gửi có ký hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi có ký hạn,- Hợp đồng tiến gửi có ký hạn,-,-,13.571.192,3.588.730,752.601,17.912.523,,,13571192.0,3588730.0,752601.0,17912523.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,80.000,-,1.928.406,10.296.313,18.634.113,30.938.832,80000.0,,1928406.0,10296313.0,18634113.0,30938832.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,1.800.946,-,-,-,1.800.946,,1800946.0,,,,1800946.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,1.168.681,-,-,-,1.168.681,,1168681.0,,,,1168681.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,461.611,-,-,-,461.611,,461611.0,,,,461611.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,170.654,-,-,-,170.654,,170654.0,,,,170654.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,246.991,-,-,-,246.991,,246991.0,,,,246991.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,1.046,-,1.649.890,-,-,1.650.936,1046.0,,1649890.0,,,1650936.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,2.981,-,313.053,-,-,316.034,2981.0,,313053.0,,,316034.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,241.618,2.047.937,20.779.997,13.885.043,19.386.714,56.341.309,241618.0,2047937.0,20779997.0,13885043.0,19386714.0,56341309.0
