row_label_raw,row_label_full,col_0,Thay đổi biến%,Thay đổi nghĩa vụ được bảo hiểm(triệu VND),Ảnh hưởng đến lợi nhuận sau thuế và nguồn vốnchữ sở hữu(triệu VND),numeric__Thay đổi biến%,numeric__Thay đổi nghĩa vụ được bảo hiểm(triệu VND),numeric__Ảnh hưởng đến lợi nhuận sau thuế và nguồn vốnchữ sở hữu(triệu VND)
Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2015 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"+0,25",(193.710),149.583,0.25,-193710.0,149583.0
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2015 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,"-0,25",258.301,(199.460),-0.25,258301.0,-199460.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2015 > Tỷ lệ tử vong,Tỷ lệ tử vong,+10,12.414,(9.586),10.0,12414.0,-9586.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2015 > Tỷ lệ tử vong,Tỷ lệ tử vong,-10,(5.480),4.232,-10.0,-5480.0,4232.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2015 > Tỷ lệ tử vong,Tỷ lệ tử vong,+20,32.862,(25.376),20.0,32862.0,-25376.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2015 > Tỷ lệ tử vong,Tỷ lệ tử vong,-20,(3.095),2.390,-20.0,-3095.0,2390.0
Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,,,
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2014 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,+0.25,(151.005),116.606,25.0,-151005.0,116606.0
Tỷ lệ chiết khấu,Ngày 31 tháng 12 năm 2014 > Tỷ lệ chiết khấu,Tỷ lệ chiết khấu,-0.25,172.106,(132.900),-25.0,172106.0,-132900.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2014 > Tỷ lệ tử vong,Tỷ lệ tử vong,+10,(1.934),1.493,10.0,-1934.0,1493.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2014 > Tỷ lệ tử vong,Tỷ lệ tử vong,-10,2.673,(2.064),-10.0,2673.0,-2064.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2014 > Tỷ lệ tử vong,Tỷ lệ tử vong,+20,(3.161),2.441,20.0,-3161.0,2441.0
Tỷ lệ tử vong,Ngày 31 tháng 12 năm 2014 > Tỷ lệ tử vong,Tỷ lệ tử vong,-20,6.164,(4.760),-20.0,6164.0,-4760.0
