row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Chưa quá hạn và không giảm giá trị VND,Quá hạn nhưng không giảm giá trị riêng biết VND,Bị giảm giá trị riêng biết (*) VND,Tổng VND,numeric__Chưa quá hạn và không giảm giá trị VND,numeric__Quá hạn nhưng không giảm giá trị riêng biết VND,numeric__Bị giảm giá trị riêng biết (*) VND,numeric__Tổng VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.256.691.436.043,-,-,2.256.691.436.043,2256691436043.0,,,2256691436043.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,360.008.616.566,35.673.751.336,39.490.793.433,435.173.161.335,360008616566.0,35673751336.0,39490793433.0,435173161335.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,347.211.798.459,-,-,347.211.798.459,347211798459.0,,,347211798459.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,1.006.839.809.438,-,-,1.006.839.809.438,1006839809438.0,,,1006839809438.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,43.479.426.736,-,-,43.479.426.736,43479426736.0,,,43479426736.0
"- Các khoản cẩm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cẩm cố, ký quỹ, ký cược","- Các khoản cẩm cố, ký quỹ, ký cược",40.729.256.836,-,-,40.729.256.836,40729256836.0,,,40729256836.0
- Phải thu cố tức,TÀI SẢN > - Phải thu cố tức,- Phải thu cố tức,2.750.169.900,-,-,2.750.169.900,2750169900.0,,,2750169900.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,45.600.044.520.511,-,409.801.853.201,46.009.846.373.712,45600044520511.0,,409801853201.0,46009846373712.0
- Hợp đồng tiền gửi cố ký hạn,TÀI SẢN > - Hợp đồng tiền gửi cố ký hạn,- Hợp đồng tiền gửi cố ký hạn,15.337.873.837.512,-,-,15.337.873.837.512,15337873837512.0,,,15337873837512.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,30.262.170.682.999,-,409.801.853.201,30.671.972.536.200,30262170682999.0,,409801853201.0,30671972536200.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,1.804.893.259.922,1.220.219.369,2.279.129.439,1.808.392.608.730,1804893259922.0,1220219369.0,2279129439.0,1808392608730.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,243.392.720.539,3.781.799.102,18.785.457.371,265.959.977.012,243392720539.0,3781799102.0,18785457371.0,265959977012.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,51.662.561.588.214,40.675.769.807,470.357.233.444,52.173.594.591.465,51662561588214.0,40675769807.0,470357233444.0,52173594591465.0
