row_label_raw,row_label_full,Mã số,Bảng cân đối kế toán hợp nhất,col_2,Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),Trình bày lại,Đơn vị tính: VNDNgày 31 tháng 12 năm 2014 (được trình bày lại),numeric__Bảng cân đối kế toán hợp nhất,numeric__col_2,numeric__Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),numeric__Trình bày lại,numeric__Đơn vị tính: VNDNgày 31 tháng 12 năm 2014 (được trình bày lại)
121,121,121,Đầu tư ngắn hạn,(1),15.010.454.563.443,(15.010.454.563.443),(**),,-1.0,15010454563443.0,-15010454563443.0,
121,121,121,Chứng khoán kinh doanh,"(1),(6)",(*),1.800.946.274.580,1.800.946.274.580,,,,1800946274580.0,1800946274580.0
121,121,121,Dự phòng giảm giá đầu tư ngắn hạn,(2),(1.492.423.517.936),1.492.423.517.936,(**),,-2.0,-1492423517936.0,1492423517936.0,
122,122,122,Dự phòng giảm giá chứng khoán kinh doanh,"(2),(7)",(*),(434.945.963.067),(434.945.963.067),,,,-434945963067.0,-434945963067.0
123,123,123,Đầu tư nằm giữ đến ngày đáo hạn,"(1),(2)",(*),12.921.017.514.349,12.921.017.514.349,,,,12921017514349.0,12921017514349.0
123,123,123,Tạm ứng,(3),40.094.558.276,(40.094.558.276),(**),,-3.0,40094558276.0,-40094558276.0,
131.2,131.2,131.2,Phải thu về hoạt động đầu tư,(4),2.579.403.322.877,(1.062.092.032.210),1.517.311.290.667,,-4.0,2579403322877.0,-1062092032210.0,1517311290667.0
135,135,135,Phải thu về cho vay ngắn hạn,"(1),(4)",(*),691.200.395.207,691.200.395.207,,,,691200395207.0,691200395207.0
136,136,136,Phải thu ngắn hạn khác,(4),237.648.214.856,7.517.242.979,245.165.457.835,,-4.0,237648214856.0,7517242979.0,245165457835.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,(2),(241.647.371.398),(67.789.100.033),(309.436.471.431),,-2.0,-241647371398.0,-67789100033.0,-309436471431.0
155,155,155,Tài sản ngắn hạn khác,(3),83.043.421.250,40.126.558.276,123.169.979.526,,-3.0,83043421250.0,40126558276.0,123169979526.0
155,155,155,"Các khoản cảm có, ký cược, ký quỹ ngắn hạn",(3),32.000.000,(32.000.000),(**),,-3.0,32000000.0,-32000000.0,
155,155,155,Tài sản ký quỹ dài hạn,(5),38.315.757.679,(38.315.757.679),(**),,-5.0,38315757679.0,-38315757679.0,
216.1,216.1,216.1,Ký quỹ bảo hiểm,(5),(*),18.862.496.457,18.862.496.457,,-5.0,,18862496457.0,18862496457.0
216.2,216.2,216.2,Phải thu dài hạn khác,(5),(*),19.453.261.222,19.453.261.222,,-5.0,,19453261222.0,19453261222.0
216.2,216.2,216.2,Đầu tư dài hạn khác,(6),23.003.684.478.040,(23.003.684.478.040),(**),,-6.0,23003684478040.0,-23003684478040.0,
253,253,253,Đầu tư góp vốn vào đơn vị khác,(6),(*),365.928.261.225,365.928.261.225,,-6.0,,365928261225.0,365928261225.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,(7),(44.620.853.891),1.552.133.702,(43.068.720.189),,-7.0,-44620853891.0,1552133702.0,-43068720189.0
255,255,255,Đầu tư nắm giữ đến ngày đáo hạn,(6),(*),22.298.380.796.815,22.298.380.796.815,,-6.0,,22298380796815.0,22298380796815.0
255,255,255,Phải trả thương mại,(8),4.747.075.045.036,(4.747.075.045.036),(**),,-8.0,4747075045036.0,-4747075045036.0,
311,311,311,Phải trả người bán ngắn hạn,"(8),(9)",(*),1.056.835.762.377,1.056.835.762.377,,,,1056835762377.0,1056835762377.0
319,319,319,Phải trả ngắn hạn khác,(9),434.663.782.012,(73.881.550.723),360.782.231.289,,-9.0,434663782012.0,-73881550723.0,360782231289.0
320,320,320,Vay và thuê tài chính ngắn hạn,(10),3.517.524.546,(1.093.750.000),2.423.774.546,,-10.0,3517524546.0,-1093750000.0,2423774546.0
324,324,324,Giao dịch mua bán lại trái phiếu Chính phủ,(8),(*),3.764.120.833.382,3.764.120.833.382,,-8.0,,3764120833382.0,3764120833382.0
324,324,324,"Ký quỹ, ký cược dài hạn",(11),60.748.933.283,(60.748.933.283),(**),,-11.0,60748933283.0,-60748933283.0,
337,337,337,Phải trả dài hạn khác,(11),(*),60.748.933.283,60.748.933.283,,-11.0,,60748933283.0,60748933283.0
338,338,338,Vay và thuê tài chính dài hạn,(10),(*),1.093.750.000,1.093.750.000,,-10.0,,1093750000.0,1093750000.0
418,418,418,Quỹ đầu tư phát triển,(12),10.532.317.597,11.180.185.968,21.712.503.565,,-12.0,10532317597.0,11180185968.0,21712503565.0
418,418,418,Quỹ dự phòng tài chính,(12),11.180.185.968,(11.180.185.968),(**),,-12.0,11180185968.0,-11180185968.0,
