row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2015 > Giá gốc,Tại ngày 31 tháng 12 năm 2015 > Giá trị thuần,Tại ngày 31 tháng 12 năm 2015 > Dự phòng,Tại ngày 31 tháng 12 năm 2014 > Giá gốc,Tại ngày 31 tháng 12 năm 2014 > Giá trị thuần,Tại ngày 31 tháng 12 năm 2014 > Dự phòng,numeric__Tại ngày 31 tháng 12 năm 2015 > Giá gốc,numeric__Tại ngày 31 tháng 12 năm 2015 > Giá trị thuần,numeric__Tại ngày 31 tháng 12 năm 2015 > Dự phòng,numeric__Tại ngày 31 tháng 12 năm 2014 > Giá gốc,numeric__Tại ngày 31 tháng 12 năm 2014 > Giá trị thuần,numeric__Tại ngày 31 tháng 12 năm 2014 > Dự phòng
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Ngân hàng Thương mại,Cổ phiếu niêm yết > Ngân hàng Thương mại,Ngân hàng Thương mại,173.655.554.129,173.655.554.129,-,185.993.105.309,185.216.903.174,(776.202.135),173655554129.0,173655554129.0,,185993105309.0,185216903174.0,-776202135.0
Cổ phần Quản đội,Cổ phiếu niêm yết > Cổ phần Quản đội,Cổ phần Quản đội,144.000.084.700,50.540.884.700,(93.459.200.000),144.000.084.700,30.188.862.300,(113.811.222.400),144000084700.0,50540884700.0,-93459200000.0,144000084700.0,30188862300.0,-113811222400.0
Công ty Cổ phần Tập đoàn Công nghệ CMC,Cổ phiếu niêm yết > Công ty Cổ phần Tập đoàn Công nghệ CMC,Công ty Cổ phần Tập đoàn Công nghệ CMC,144.000.084.700,50.540.884.700,(93.459.200.000),144.000.084.700,30.188.862.300,(113.811.222.400),144000084700.0,50540884700.0,-93459200000.0,144000084700.0,30188862300.0,-113811222400.0
Ngân hàng Thương mại,Cổ phiếu niêm yết > Ngân hàng Thương mại,Ngân hàng Thương mại,108.815.050.570,82.181.355.470,(26.633.695.100),131.646.927.735,72.290.948.270,(59.355.979.465),108815050570.0,82181355470.0,-26633695100.0,131646927735.0,72290948270.0,-59355979465.0
Cổ phần Ngoại thương Việt Nam,Cổ phiếu niêm yết > Cổ phần Ngoại thương Việt Nam,Cổ phần Ngoại thương Việt Nam,739.460.877.541,580.585.027.279,(158.875.850.262),707.041.056.242,566.684.200.658,(140.356.855.584),739460877541.0,580585027279.0,-158875850262.0,707041056242.0,566684200658.0,-140356855584.0
,,,1.165.931.566.940,886.962.821.578,(278.968.745.362),1.168.681.173.986,854.380.914.402,(314.300.259.584),1165931566940.0,886962821578.0,-278968745362.0,1168681173986.0,854380914402.0,-314300259584.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Tập đoàn SSG,Cổ phiếu chưa niêm yết > Tập đoàn SSG,Tập đoàn SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Công ty Cổ phần Tập đoàn HIPT,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn HIPT,Công ty Cổ phần Tập đoàn HIPT,63.250.000.000,13.026.090.800,(50.223.909.200),63.250.000.000,10.155.935.200,(53.094.064.800),63250000000.0,13026090800.0,-50223909200.0,63250000000.0,10155935200.0,-53094064800.0
Khác,Cổ phiếu chưa niêm yết > Khác,Khác,156.088.998.664,83.066.292.607,(73.022.706.057),173.361.489.894,111.404.974.313,(61.956.515.581),156088998664.0,83066292607.0,-73022706057.0,173361489894.0,111404974313.0,-61956515581.0
,,,444.338.998.664,321.092.383.407,(123.246.615.257),461.611.489.894,346.560.909.513,(115.050.580.381),444338998664.0,321092383407.0,-123246615257.0,461611489894.0,346560909513.0,-115050580381.0
Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,Chứng chi quỹ,,,,,,
BVFED,Chứng chi quỹ > BVFED,BVFED,65.000.000.000,65.000.000.000,-,65.000.000.000,63.447.866.298,(1.552.133.702),65000000000.0,65000000000.0,,65000000000.0,63447866298.0,-1552133702.0
VF1,Chứng chi quỹ > VF1,VF1,33.152.865.365,33.152.865.365,-,67.745.660.700,67.745.660.700,-,33152865365.0,33152865365.0,,67745660700.0,67745660700.0,
E1V/FVN30,Chứng chi quỹ > E1V/FVN30,E1V/FVN30,20.972.830.000,20.972.830.000,-,20.000.000.000,18.800.000.000,(1.200.000.000),20972830000.0,20972830000.0,,20000000000.0,18800000000.0,-1200000000.0
Khác,Chứng chi quỹ > Khác,Khác,17.907.950.000,15.522.657.400,(2.385.292.600),17.907.950.000,15.064.960.600,(2.842.989.400),17907950000.0,15522657400.0,-2385292600.0,17907950000.0,15064960600.0,-2842989400.0
,,,137.033.645.365,134.648.352.765,(2.385.292.600),170.653.610.700,165.058.487.598,(5.595.123.102),137033645365.0,134648352765.0,-2385292600.0,170653610700.0,165058487598.0,-5595123102.0
,,,1.747.304.210.969,1.342.703.557.750,(404.600.653.219),1.800.946.274.580,1.366.000.311.513,(434.945.963.067),1747304210969.0,1342703557750.0,-404600653219.0,1800946274580.0,1366000311513.0,-434945963067.0
