row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Năm 2015VND,Năm 2014VND,numeric__Giao dịch,numeric__Năm 2015VND,numeric__Năm 2014VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,482.509.800.000,723.764.700.000,,482509800000.0,723764700000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,22.154.400.000,33.231.600.000,,22154400000.0,33231600000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trả,122.509.091.000,183.763.636.500,,122509091000.0,183763636500.0
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Chi phí dự án Hồ trợ và Chuyển giao Nắng lực Kỹ thuật,15.808.441.442,8.497.753.058,,15808441442.0,8497753058.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,
Bảo Việt Tokio Marine,Công ty liên doanh > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Phần lợi nhuận được chia,25.853.851.312,29.210.056.957,,25853851312.0,29210056957.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Bảo Việt SCIC,Công ty liên kết > Bảo Việt SCIC,Bảo Việt SCIC,Tăng vốn trong năm,,30.000.000.000,,,30000000000.0
BaovietBank,Công ty liên kết > BaovietBank,BaovietBank,"Cổ tức được nhận Doanh thu lãi tiền gửi Doanh thu cho thuê trụ sở làm việc, phí giữ xe Phí dịch vụ CNTT",31.200.000.000,46.800.000.000,,31200000000.0,46800000000.0
BaovietBank,Công ty liên kết > BaovietBank,BaovietBank,"Cổ tức được nhận Doanh thu lãi tiền gửi Doanh thu cho thuê trụ sở làm việc, phí giữ xe Phí dịch vụ CNTT",217.580.460.982,88.296.682.611,,217580460982.0,88296682611.0
BaovietBank,Công ty liên kết > BaovietBank,BaovietBank,"Cổ tức được nhận Doanh thu lãi tiền gửi Doanh thu cho thuê trụ sở làm việc, phí giữ xe Phí dịch vụ CNTT",12.817.598.525,19.223.845.148,,12817598525.0,19223845148.0
BaovietBank,Công ty liên kết > BaovietBank,BaovietBank,"Cổ tức được nhận Doanh thu lãi tiền gửi Doanh thu cho thuê trụ sở làm việc, phí giữ xe Phí dịch vụ CNTT",1.860.928.091,2.109.845.825,,1860928091.0,2109845825.0
BaovietBank,Công ty liên kết > BaovietBank,BaovietBank,Chi phí repo và lãi vay,49.509.264.785,56.057.648.115,,49509264785.0,56057648115.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Tạm ứng cổ tức Doanh thu từ hoạt động xây lắp,8.100.000.000,20.880.000.000,,8100000000.0,20880000000.0
VIGEBA,Công ty liên kết > VIGEBA,VIGEBA,Tạm ứng cổ tức Doanh thu từ hoạt động xây lắp,20.184.096.528,25.925.221.066,,20184096528.0,25925221066.0
